GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
98.590,87.500,87.235,61.227,125,117,8,636,92,0,1,93.600,175442448.000,2565845250.000,481600211.241,3098119896.906,9598347000000000000.000,15312373000000000000.000,20526761034,20526773311,15,D
98.220,98.559,92.235,88.911,689,588,101,1810,558,0,1,85.341,1633175170.000,9487116300.000,6587524331.618,28132984613.693,791464900000000000000.000,853150200000000000000.000,958198708297,960305726241,20,D
98.530,98.772,97.068,96.687,20757,11092,9665,2026,2026,1,1,53.437,2051982080.000,2354952450.000,13575860602.528,14523128964.556,210892700000000000000.000,211000490000000000000.000,22760555677428,22760556010484,91,D
98.867,98.990,92.513,75.395,1833,1732,101,2120,2120,0,1,94.490,61975460.000,1060355900.000,484140442.892,2566463196.006,6586731100000000000.000,7583498300000000000.000,107095953412,107341872789,24,D
99.628,98.901,93.668,70.660,2656,2565,91,1026,1026,1,1,96.574,35664556.000,1002890500.000,301712856.694,2150498320.824,4624642100000000000.000,5560167600000000000.000,91263008204,91479722609,123,D
97.478,96.970,88.911,72.425,263,230,33,2182,1886,0,1,87.452,284021312.000,1971473540.000,1496291272.275,4069991245.237,16564831000000000000.000,19412322000000000000.000,65058624899,65324971673,11,D
99.138,83.333,89.854,61.314,3836,3830,6,1490,1490,0,1,99.844,17526758.000,2194989820.000,337882395.971,2681649068.284,7191241500000000000.000,11932587000000000000.000,13169939426,67128046581,30,D
99.018,99.672,91.669,75.856,2757,2328,429,1393,1140,0,1,84.440,25632672.000,137861888.000,135581387.130,439228071.794,192921238000000000.000,205516779000000000.000,59142752814,59673096061,45,D
98.549,89.256,94.515,71.057,123,112,11,1994,58,0,1,91.057,309765280.000,3153972990.000,1615391790.999,5540749287.039,30699900000000000000.000,38789416000000000000.000,34693702340,34693722340,4,D
99.324,99.821,96.404,200.159,6046,4319,1727,1705,76,1,1,71.436,205388576.000,513614656.000,1531058129.123,12559442690.262,157741320000000000000.000,157832600000000000000.000,887011750229,887076122885,96,D
98.337,0.000,98.997,0.000,241,240,1,611,48,1,1,99.585,100474504.000,24108339200.000,1294738609.248,0.000,0.000,576377540000000000000.000,24108340000,24113912524,130,D
99.899,99.986,93.791,92.402,316549,172484,144065,1549,19,1,1,54.489,5225549.000,6250017.500,202423726.924,223353517.181,49873328000000000.000,49878190000000000.000,900376726260,901454467507,1203,D
98.280,99.899,96.832,109.391,215035,180687,34348,2062,0,1,1,84.027,143705936.000,756027330.000,3448842593.551,9002995346.344,81059010000000000000.000,81419425000000000000.000,25968495213260,25970714275643,8571,D
99.017,50.000,96.794,47.671,164,162,2,1340,23,0,1,98.780,27601800.000,2146544900.000,205887527.158,2046544896.000,4188346000000000000.000,8678265500000000000.000,4293089805,4471491002,5,D
99.749,80.000,96.546,55.419,402,397,5,1189,659,0,1,98.756,48959456.000,3887381250.000,635140780.270,3969016484.612,15753092000000000000.000,30486572000000000000.000,19436905782,19436906782,6,D
95.821,96.875,85.475,64.496,299,251,48,1701,482,0,1,83.946,260645136.000,1043724610.000,728470991.991,1387766629.082,1925896460000000000.000,2539109620000000000.000,50098788711,65421936928,30,D
94.759,99.817,58.821,55.332,1403,195,1208,1170,1170,0,1,13.899,134571296.000,21426988.000,210522713.302,62044716.244,3849542140000000.000,16651173700000000.000,25883780971,26241413638,2,D
97.259,99.212,94.017,89.160,18105,12263,5842,1478,768,1,1,67.733,937581820.000,1968105340.000,4186101389.126,6306715644.785,39775150000000000000.000,40836953000000000000.000,11497790604042,11497799482581,115,D
99.037,94.118,88.067,53.302,1650,1633,17,1293,1293,1,1,98.970,12365828.000,1166949380.000,77554976.262,1209785005.318,1463579580000000000.000,2796643830000000000.000,19838143411,20193385182,83,D
96.747,98.519,93.517,80.274,920,750,170,2300,1754,0,1,81.522,2167411970.000,9561947100.000,10201312702.820,22367833940.662,500320260000000000000.000,554999130000000000000.000,1625530304451,1625560144373,11,D
95.990,99.104,92.162,90.310,9981,6585,3396,1986,1292,1,1,65.975,146966144.000,284947360.000,858608948.008,1346323572.697,1812574060000000000.000,1831615670000000000.000,967683888972,967784694221,51,D
99.922,99.988,84.287,84.201,105981,53736,52245,1456,0,1,1,50.703,4432636.000,4555272.500,43377935.312,44389936.804,1970177060000000.000,1970425630000000.000,237994496946,238198721468,521,D
92.149,89.941,88.464,81.595,35,22,13,347,9,0,0,62.857,654881020.000,1099012350.000,2084317488.631,2620914437.266,6869193400000000000.000,7066444700000000000.000,14287160000,14407382000,14,D
99.494,98.879,98.962,98.653,50434,28866,21568,2026,2026,1,1,57.235,1595262720.000,2135036030.000,107058939909.306,123849797559.837,15337406000000000000000.000,15338316000000000000000.000,46051359975241,46051386241146,222,D
94.125,84.375,89.998,73.663,48,40,8,1191,1,0,0,83.333,299162432.000,1495812220.000,1330922826.528,2705927345.901,7322042700000000000.000,8754013600000000000.000,11966497712,11966498712,4,D
99.988,99.997,89.629,91.528,35496,18154,17342,1137,0,1,1,51.144,8644571.000,9048413.000,118112899.701,120815260.034,14596257400000000.000,14596503300000000.000,156917796064,156934251455,70,D
98.955,86.915,91.865,94.824,3286,3168,118,1904,1904,1,1,96.409,34805992.000,886459780.000,300239342.841,5508846469.101,30347330000000000000.000,31072678000000000000.000,104602412874,110266019732,171,D
95.176,99.869,97.417,97.278,121323,98425,22898,2062,0,1,1,81.126,194499344.000,835978500.000,3431998175.161,8253467911.919,68129136000000000000.000,68520670000000000000.000,19142596449928,19144814088544,12798,D
97.195,85.714,82.486,60.708,137,130,7,1439,22,0,1,94.891,92673376.000,1717885310.000,281680475.128,2411687017.408,5816234500000000000.000,8457549000000000000.000,12025197931,12047536544,21,D
99.324,97.917,88.823,53.370,2309,2261,48,1449,1449,1,1,97.921,9502556.000,399922080.000,79898009.934,420344506.605,176689474000000000.000,329116919000000000.000,19196261363,21485227094,106,D
99.416,99.205,93.832,88.900,4068,3733,335,2222,93,1,1,91.765,258641920.000,2881775100.000,2232659016.559,8270619542.256,68403024000000000000.000,75283900000000000000.000,965394532219,965507876118,52,D
99.161,99.242,91.513,69.687,4169,4021,148,1138,1138,0,1,96.450,354011264.000,9618123800.000,2642765280.146,18596622957.455,345834440000000000000.000,431658130000000000000.000,1423482773093,1423482773093,35,D
94.039,81.633,93.227,84.257,296,289,7,2165,1,0,1,97.635,18567446.000,766483330.000,82866469.254,1776069962.243,3154424920000000000.000,3713802010000000000.000,5365382902,5365997225,22,D
93.975,81.633,93.218,84.282,294,287,7,2062,52,0,1,97.619,18679400.000,765769020.000,83143547.629,1776283720.352,3155183580000000000.000,3713327290000000000.000,5360382902,5360992225,20,D
97.952,81.633,85.895,31.807,622,615,7,1926,456,0,1,98.875,15574476.000,1198873730.000,69374209.072,687053787.395,472042916000000000.000,1872239880000000000.000,8392116290,9578286938,6,D
99.194,97.436,62.660,47.816,165,126,39,686,686,0,1,76.364,113719112.000,219030832.000,149995842.222,201398853.361,40561495000000000.000,51652063000000000.000,8542201991,14328607907,2,D
99.423,99.109,93.320,89.667,3961,3639,322,2222,2082,0,1,91.871,223138304.000,2521384700.000,2083733864.553,7915761529.758,62659378000000000000.000,67941352000000000000.000,811885568565,811998912464,39,D
86.420,80.000,78.852,62.017,14,9,5,935,1,0,0,64.286,1146594180.000,2063869570.000,2378516079.123,2881954649.561,8305662500000000000.000,9147056000000000000.000,10319346664,10319347664,1,D
98.163,89.000,90.796,67.760,268,248,20,1213,596,0,1,92.537,37668396.000,459064640.000,215450980.885,669248567.597,447893689000000000.000,625468460000000000.000,9181291863,9341762195,12,D
99.013,85.714,92.133,46.655,145,138,7,1878,11,0,1,95.172,38956992.000,761447810.000,216656874.233,669622370.717,448394105000000000.000,970387110000000000.000,5330134498,5376064801,9,D
9.844,90.000,97.992,79.274,25612,25602,10,521,1,1,1,99.961,229691.280,584248510.000,3168672.175,1182923575.595,1399308180000000000.000,1740386310000000000.000,5842485344,5879969980,10565,D
94.346,96.424,93.705,80.735,3258,3164,94,1876,1876,0,1,97.115,2056522.100,68208088.000,25033383.808,269645286.044,72708599000000000.000,77084647000000000.000,6411560042,6506864018,17,D
98.765,97.732,92.070,74.214,1073,1027,46,1675,1283,0,1,95.713,90887472.000,2029162500.000,659475116.163,3459583804.910,11968720000000000000.000,15725632000000000000.000,93341496822,93341496822,46,D
99.215,95.238,79.488,61.461,954,933,21,1137,1,0,1,97.799,2697987.000,119867416.000,11155943.150,164782162.089,27153163300000000.000,40881839000000000.000,2517216054,2517224990,41,D
98.781,97.679,93.029,77.609,984,939,45,1675,126,0,1,95.427,65731788.000,1371604480.000,510048548.237,2692925751.231,7251849300000000000.000,8957152200000000000.000,61722202588,61722202588,46,D
98.061,98.541,94.050,93.336,16888,11477,5411,2361,41,1,1,67.959,677998980.000,1438017410.000,12240910123.969,18100030862.396,327603700000000000000.000,328184870000000000000.000,7781061540055,7781217806365,246,D
99.498,97.778,86.210,68.688,427,382,45,1584,80,0,1,89.461,18194840.000,146973280.000,74530831.717,237866204.677,56580331000000000.000,73164227000000000.000,6613796850,6950427489,9,D
96.608,50.000,86.539,49.022,231,229,2,2066,1,0,1,99.134,23655198.000,2555550210.000,69289523.449,2505550336.000,6277782600000000000.000,12688274000000000000.000,5111100547,5417038913,3,D
94.215,0.000,91.336,0.000,23,22,1,223,223,0,0,95.652,3786991.200,0.000,15070906.089,0.000,0.000,14341302600000.000,0,83313811,2,D
95.192,80.000,91.477,42.420,57,52,5,1476,17,0,0,91.228,55146368.000,481280608.000,188200814.628,378486913.553,143252346000000000.000,324842705000000000.000,2406402937,2867611281,2,D
97.350,0.000,77.471,0.000,44,43,1,1376,90,0,0,97.727,1579718.000,27849700.000,3202684.951,0.000,0.000,690111920000000.000,27849699,67927866,3,D
67.963,94.485,94.084,70.729,978,947,31,2147,210,1,1,96.830,59148488.000,1801794820.000,515721438.515,3610420495.698,13035137000000000000.000,16071954000000000000.000,55855640014,56013941682,277,D
89.536,0.000,88.254,0.000,513,512,1,909,909,1,1,99.805,2390821.800,510000.000,12547252.255,0.000,0.000,3537490410000.000,510000,1224101659,76,D
96.490,0.000,63.934,0.000,36,35,1,1398,33,0,0,97.222,1895437.000,0.000,2608894.790,0.000,0.000,3592681420000.000,0,66340304,2,D
94.792,50.000,87.908,46.451,26,24,2,1949,1,0,0,92.308,9182253.000,105666600.000,27848221.827,98166600.000,9636681500000000.000,18945910300000000.000,211333200,220374082,2,D
94.896,80.000,95.512,68.051,74,69,5,2115,95,0,0,93.243,188459040.000,2517352960.000,1152472321.847,3640500930.469,13253247000000000000.000,18676995000000000000.000,12586763939,13003671255,13,D
96.150,0.000,47.957,0.000,32,31,1,1019,49,0,0,96.875,2468598.500,0.000,2324653.893,0.000,0.000,6093978700000.000,0,76526557,2,D
98.247,97.619,87.049,64.995,530,488,42,2417,1,0,1,92.075,11441780.000,132913616.000,48782563.689,194531260.412,37842407000000000.000,52597810000000000.000,5582371675,5583587647,5,D
97.991,0.000,80.903,0.000,636,635,1,1407,1407,0,1,99.843,3514235.200,0.000,14556601.393,0.000,0.000,12349849200000.000,0,2231540342,46,D
94.896,0.000,52.196,0.000,24,23,1,1208,1,0,0,95.833,3270729.800,0.000,4017275.510,0.000,0.000,10697673000000.000,0,75226785,3,D
99.194,0.000,78.340,0.000,644,642,2,1390,1390,0,1,99.689,5105987.000,100000000.000,13688235.692,0.000,0.000,9004874100000000.000,200000000,3278043315,14,D
91.967,0.000,71.144,0.000,20,19,1,587,34,0,0,95.000,16935844.000,1010000.000,28447552.164,0.000,0.000,253632499000000.000,1010000,321781024,6,D
98.715,90.000,75.691,57.417,620,610,10,1406,1406,1,1,98.387,5983264.500,145887024.000,18806338.946,174370630.535,30405115000000000.000,49978176000000000.000,1458870273,3649794125,60,D
97.653,88.000,47.570,38.872,65,55,10,470,88,0,0,84.615,357834240.000,1962465660.000,337598185.579,1545826206.125,2389578790000000000.000,4964420300000000000.000,19624656197,19680883991,8,N
0.000,0.099,0.000,99.950,2014,1,2013,1,1,0,1,0.050,1000000.000,496.771,0.000,22282.824,496524256.000,999523810000.000,1000000,1000000,1,N
97.071,96.713,27.216,22.923,154,117,37,927,130,0,1,75.974,128525024.000,406417056.000,74534515.073,179425256.389,32193421300000000.000,109417376000000000.000,15037429335,15037429335,4,N
82.563,87.628,75.715,72.401,136,80,56,4,4,0,1,58.824,26737498.000,38196424.000,47548066.080,62361109.421,3888910350000000.000,4020215820000000.000,2139000000,2139000000,46,N
97.371,83.333,40.159,75.940,113,107,6,1675,121,0,1,94.690,29420564.000,524666624.000,22208880.081,1025975558.416,1052625770000000000.000,1297894590000000000.000,3148000000,3148000000,7,N
94.524,92.593,93.834,46.378,193,175,18,1621,1,0,1,90.674,114553.900,1101880.500,579333.821,1054479.574,1111927290000.000,2086740820000.000,19833847,20046937,16,N
98.766,99.181,92.136,91.286,30263,22431,7832,2358,36,1,1,74.120,501683808.000,1436793730.000,9731890568.246,16754859643.191,280718510000000000000.000,281606810000000000000.000,11252904547135,11253062867345,387,N
99.335,96.632,61.140,68.596,910,726,184,2409,1,0,1,79.780,87443696.000,314447968.000,550132356.099,1686055920.181,2842785110000000000.000,2894313730000000000.000,57858436936,63484200118,13,N
98.969,93.750,55.249,67.913,127,111,16,136,136,0,1,87.402,815745790.000,5659237400.000,1053591184.247,11689539157.554,136645320000000000000.000,160104760000000000000.000,90547790774,90547790774,13,N
99.025,96.314,50.964,50.707,532,503,29,824,343,0,1,94.549,77417680.000,1342796290.000,174893362.156,1288350023.318,1659845570000000000.000,3261028620000000000.000,38941092221,38941092221,10,N
99.008,99.355,94.762,94.165,27457,18933,8524,2358,498,1,1,68.955,1219342460.000,2708409860.000,46030749291.133,73961976082.231,5470450000000000000000.000,5471798700000000000000.000,23086857888135,23087004155425,407,N
81.570,0.000,1.958,0.000,59,58,1,631,133,0,0,98.305,102677512.000,0.000,5903260.162,0.000,0.000,10542671500000000.000,0,5955296208,2,N
99.334,66.667,33.094,0.445,155,152,3,1569,112,0,1,98.065,7472179.500,202364480.000,4366209.420,1908895.354,3643881550000.000,37986658000000000.000,607093454,1135771385,7,N
80.210,50.000,77.749,11.129,41,39,2,1099,150,0,0,95.122,10088236.000,184184240.000,25201107.633,40994880.000,1680580170000000.000,31989996600000000.000,368368487,393441228,4,N
90.674,87.755,19.017,37.102,122,94,28,896,713,0,1,77.049,287785664.000,966137730.000,121473152.180,754258442.648,568905802000000000.000,1029067430000000000.000,27051858737,27051858737,2,N
91.719,82.094,79.811,89.434,110,77,33,1551,78,0,1,70.000,8433179.000,19677408.000,16018205.609,72998748.569,5328816900000000.000,5455249500000000.000,649354645,649354645,3,N
99.577,97.297,37.259,59.986,275,238,37,934,99,0,1,86.545,144745344.000,931064640.000,136430989.776,1365848523.898,1865542340000000000.000,2483839920000000000.000,34449388853,34449388853,4,N
99.680,98.413,76.499,78.842,1197,1134,63,2090,54,0,1,94.737,86932336.000,1558044030.000,846263528.476,5089271470.558,25900683000000000000.000,28064856000000000000.000,98156782415,98581196292,17,N
99.088,85.714,50.932,72.375,499,492,7,1661,564,0,1,98.597,310237120.000,21243484200.000,548965954.501,32728472739.405,1071152950000000000000.000,1509354000000000000000.000,148704390630,152636571585,7,N
