GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
95.60048 77.77777 48.128395 57.993828 35 29 6 1862 39 false false 82.85714 5.2981444E7 1.91121904E8 4.5324160965786904E7 2.204955323120515E8 4.8618278E16 6.7701067E16 1146731306 1536461687 3 N 
74.48978 0.0 89.928314 NaN 29 28 1 579 1 false false 96.55173 206035.72 0.0 923420.1385077169 0.0 0.0 4.2450719E10 0 5769000 4 N 
95.251884 94.11568 70.10681 80.55597 282 204 78 108 108 true true 72.34042 2.6380538E7 6.899528E7 6.839760376379912E7 1.8422773481751022E8 3.3939886E16 3.57558583E16 5381635581 5381635581 53 N 
98.57276 99.054596 90.55317 88.93674 25519 18400 7119 2358 36 true true 72.10314 3.9495888E8 1.02078733E9 4.9274781217611E9 8.373894415274493E9 7.0123294E19 7.0511412E19 7266931068667 7267004116357 360 N 
98.52699 93.62884 36.813545 69.692924 226 207 19 2132 834 false true 91.59292 5.3068512E8 5.7816765E9 1.026198218293053E9 9.07094852509127E9 8.22821E19 1.0985501E20 109851852922 109851852922 4 N 
99.27561 90.625015 51.521717 61.4407 501 477 24 1110 455 false true 95.20958 1.54220448E8 3.06513587E9 1.751269660025529E8 4.223669563584089E9 1.7839384E19 2.6312815E19 73563253045 73563253045 4 N 
93.87661 92.30773 64.96393 45.130123 103 90 13 90 90 false true 87.37864 7.5487984E7 5.22609184E8 1.2242597383314216E8 4.318250547303485E8 1.86472877E17 3.86390239E17 6793919753 6793919753 7 N 
69.54772 82.0 87.53136 73.87844 142 132 10 263 117 false true 92.95775 1.894697E7 2.50099968E8 1.3141689109650138E8 5.2108088623552585E8 2.71525273E17 3.24957019E17 2501000000 2501000000 11 N 
98.54539 91.40625 56.07767 43.399033 153 137 16 235 235 false true 89.54248 4.49830912E8 3.8516777E9 1.111025065953832E9 3.009495741618468E9 9.0570643E18 2.0629624E19 61626838950 61626838950 4 N 
80.165794 87.60329 95.81883 79.34482 67 56 11 1585 1 false false 83.58209 1.9794102E7 1.00769992E8 1.0149338416990057E8 2.0484714366297516E8 4.196235E16 4.8519447E16 1108469860 1108469860 8 N 
67.56155 83.947685 80.606995 89.92449 242 213 29 72 72 false true 88.016525 7338014.0 5.386206E7 5.837549292995524E7 2.099405240999652E8 4.4075032E16 4.6239498E16 1562000000 1563000000 15 N 
96.64751 93.00001 48.76479 23.08207 91 71 20 61 61 false false 78.02198 4.618366E7 1.63952032E8 4.3812382256250165E7 7.152362265011394E7 5.1156287E15 1.8985016E16 3279040582 3279040582 4 N 
98.24526 98.84593 84.70749 87.1083 1416 812 604 329 283 true true 57.34463 1.63710733E9 2.20087757E9 4.285901690774121E9 6.708692595806513E9 4.500654E19 4.532443E19 1329330000000 1329330000000 71 N 
99.20654 85.714294 22.546593 74.12563 135 128 7 1170 701 false true 94.81481 7.0480984E7 1.28879514E9 2.9465234556017347E7 2.285814995771503E9 5.2249502E18 6.7092392E18 9021565248 9021565248 2 N 
98.71792 99.13223 87.35128 86.21573 35353 26978 8375 2401 25 true true 76.310356 3.36308352E8 1.08329946E9 4.296364321880664E9 8.022583078173463E9 6.4362266E19 6.4919872E19 9072519705690 9072577992765 1019 N 
94.049065 83.33333 21.11591 71.35907 121 115 6 1691 179 false true 95.04132 1.52860816E8 2.9294697E9 6.0644349814835325E7 4.460955244316526E9 1.990012E19 2.760968E19 17576820000 17579000000 7 N 
97.04149 75.0 30.961964 55.741985 43 39 4 66 66 false false 90.69768 6.2777724E7 6.1208282E8 3.54530064377097E7 7.495218292801887E8 5.61782959E17 8.6351905E17 2448331192 2448331192 2 N 
98.196266 98.84888 91.92361 90.201996 30441 22624 7817 2472 155 true true 74.320816 3.87069856E8 1.1202144E9 5.375626436436905E9 9.617733374461433E9 9.24964E19 9.303745E19 8756626160285 8756708556495 577 N 
90.306114 94.37586 86.14467 75.705185 167 140 27 1701 186 false true 83.83234 1.68696064E8 8.7114579E8 5.581103195204326E8 1.5469927026149366E9 2.39318629E18 2.88662154E18 23520939183 23617451783 30 N 
98.76077 99.17981 94.03585 94.079384 38863 29986 8877 1844 39 true true 77.158226 7.0735808E8 2.38956749E9 3.604058317681084E10 7.148645917905147E10 5.109903E21 5.1128826E21 21212612948067 21212692510700 1103 N 
98.3506 92.733536 63.178192 47.0778 103 86 17 640 141 false true 83.49515 1.848488E8 9.3511738E8 2.702377717281335E8 7.900357837551463E8 6.2415654E17 1.18705942E18 15896995985 15896995985 6 N 
97.18498 97.442116 78.79701 71.87973 432 391 41 1228 566 false true 90.50926 1.706256E8 1.62706765E9 4.713196392724927E8 3.926889699212243E9 1.5420463E19 1.7541687E19 66709771603 66714629550 4 N 
93.28762 94.12778 81.30173 89.35701 960 633 327 475 159 true true 65.9375 1.51707968E8 2.93673472E8 6.654882418415208E8 1.4112824650633116E9 1.99171474E18 2.01187291E18 96031181987 96031181987 108 N 
99.88141 96.31393 61.048965 69.348076 991 962 29 1525 827 false true 97.07366 5.3170156E7 1.73479347E9 2.3893234636025923E8 2.7066792457699184E9 7.326113E18 1.0153969E19 50309012534 51149651947 15 N 
86.31111 91.87978 69.838104 66.78545 605 368 237 773 149 false true 60.826447 5.204131E10 8.0806814E10 9.30324665921216E10 1.3812028574960623E11 1.9077198E22 1.9904652E22 19151237000000 19151237000000 11 N 
97.743 81.63265 40.726887 38.253403 55 48 7 838 223 false false 87.27273 2.6584936E8 1.82296717E9 1.9789113178875595E8 1.2600879184735706E9 1.58782151E18 4.01243761E18 12760770637 12760770637 2 N 
99.544014 96.42849 42.668877 56.1732 415 387 28 347 145 false true 93.25301 2.2538814E7 3.11518656E8 6.043313169503227E7 5.153812482393515E8 2.6561782E17 3.49127137E17 8722522856 8722522856 18 N 
99.315254 96.05144 53.8407 59.80689 209 176 33 693 280 false true 84.210526 7.126316E7 3.79634976E8 7.429809743357906E7 6.025848668049699E8 3.63108699E17 4.58201748E17 12527954897 12542314161 9 N 
94.010735 96.02195 61.294918 68.47656 314 287 27 1991 779 false true 91.401276 2.2097794E7 2.27397632E8 2.8196684902091388E7 3.7497878279951304E8 1.40609086E17 1.8275706E17 6139735127 6342072409 5 N 
96.47739 93.425575 35.3697 58.998363 187 170 17 2121 220 false true 90.90909 1.52354208E8 1.52353843E9 2.6101192967694375E8 1.67121331653727E9 2.79295415E18 4.6730998E18 25900155186 25900215186 4 N 
94.375046 93.269196 72.50803 82.055756 175 123 52 113 48 false true 70.28571 6.1556449E9 1.45599795E10 1.3219620203139435E10 3.567248698501263E10 1.2725267E21 1.3431593E21 757119000000 757144000000 13 N 
99.77426 95.83335 80.536804 71.289825 664 640 24 2015 1478 false true 96.385544 5.8291704E7 1.36114048E9 1.3222273181767517E8 2.299935017990315E9 5.289701E18 6.9871166E18 32667369172 37306761017 11 N 
