GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
99.628,98.901,93.668,70.660,2656,2565,91,1026,1026,VERO,VERO,96.574,35664556.000,1002890500.000,301712856.694,2150498320.824,4624642100000000000.000,5560167600000000000.000,91263008204,91479722609,123,D
97.478,96.970,88.911,72.740,263,230,33,2182,1886,FALSO,VERO,87.452,284021312.000,1971473540.000,1496291272.275,4172739291.049,17411754000000000000.000,20259247000000000000.000,65058624899,65324971673,11,D
99.138,83.333,89.854,61.314,3836,3830,6,1490,1490,FALSO,VERO,99.844,17526758.000,2194989820.000,337882395.971,2681649068.284,7191241500000000000.000,11932587000000000000.000,13169939426,67128046581,30,D
98.975,98.916,91.790,74.092,2226,2000,226,1244,992,VERO,VERO,89.847,24582336.000,216907536.000,137665933.105,473315927.255,224027934000000000.000,261016845000000000.000,49021076597,49164815363,58,D
98.500,90.909,94.410,76.977,112,101,11,1994,58,FALSO,VERO,90.179,340526528.000,3126651390.000,1698179530.492,6558409157.958,43012728000000000000.000,50775223000000000000.000,34393166580,34393186580,4,D
95.883,97.337,77.029,80.089,190,138,52,1053,27,VERO,VERO,72.632,189795312.000,503687456.000,855211842.831,1500667091.464,2252002260000000000.000,2350530190000000000.000,26191743313,26191754313,54,D
98.337,0.000,98.997,0.000,241,240,1,611,48,VERO,VERO,99.585,100474504.000,24108339200.000,1294738609.248,0.000,0.000,576377540000000000000.000,24108340000,24113912524,130,D
86.767,99.592,95.170,89.961,1637,1351,286,1545,14,FALSO,VERO,82.529,17325854.000,81840208.000,167198907.206,431238990.467,185967067000000000.000,190129217000000000.000,23406298661,23407064400,44,D
9.054,98.923,99.718,94.267,22167,21875,292,1273,0,VERO,VERO,98.683,1193350.600,82799056.000,62971554.939,547754119.964,300034733000000000.000,306693994000000000.000,24177317785,26125366636,8251,D
98.959,0.000,98.267,0.000,150,149,1,1108,52,FALSO,VERO,99.333,18335178.000,2553989890.000,204061393.989,0.000,0.000,6429544300000000000.000,2553989805,2731941002,4,D
99.749,80.000,96.546,58.645,402,397,5,1189,659,FALSO,VERO,98.756,48959456.000,3887380990.000,635140780.270,4417348860.042,19512971000000000000.000,34246451000000000000.000,19436905782,19436906782,6,D
92.459,94.083,85.537,77.186,138,112,26,1701,184,FALSO,VERO,81.159,186736128.000,800689860.000,594585871.318,1496376358.121,2239142240000000000.000,2616082310000000000.000,20817939183,20914451783,22,D
94.759,99.817,58.821,55.332,1403,195,1208,1170,1170,FALSO,VERO,13.899,134571296.000,21426988.000,210522713.302,62044716.244,3849542140000000.000,16651173700000000.000,25883780971,26241413638,2,D
94.724,95.746,70.189,71.573,389,215,174,1310,4,FALSO,VERO,55.270,94198280.000,116394360.000,200158182.587,238342497.780,56807149000000000.000,57299854000000000.000,20252624514,20252635514,37,D
99.037,94.118,88.067,53.302,1650,1633,17,1293,1293,VERO,VERO,98.970,12365828.000,1166949380.000,77554976.262,1209785005.318,1463579580000000000.000,2796643830000000000.000,19838143411,20193385182,83,D
94.209,97.485,74.454,69.094,351,270,81,2065,1000,FALSO,VERO,76.923,70693672.000,235603408.000,181090184.796,361066393.229,130368973000000000.000,157564139000000000.000,19083876936,19087285589,7,D
95.018,96.643,74.517,73.163,243,155,88,1922,56,FALSO,VERO,63.786,109915424.000,193244272.000,259258295.909,373144427.352,139236801000000000.000,146180449000000000.000,17005496420,17036893747,31,D
99.568,99.338,90.856,85.766,440,289,151,1437,0,FALSO,VERO,65.682,60547808.000,115882360.000,313660893.775,427562765.391,182809888000000000.000,185871788000000000.000,17498248478,17498319903,12,D
92.149,89.941,88.464,81.595,35,22,13,347,9,FALSO,FALSO,62.857,654881020.000,1099012350.000,2084317488.631,2620914437.266,6869193400000000000.000,7066444700000000000.000,14287160000,14407382000,14,D
98.913,98.611,97.701,97.234,268,148,120,1415,46,FALSO,VERO,55.224,92538960.000,114131368.000,924950762.032,1026010229.944,1052696140000000000.000,1053163430000000000.000,13695768235,13695768235,6,D
93.886,87.500,90.661,78.420,47,39,8,1191,1,FALSO,FALSO,82.979,281735424.000,1373460220.000,1343364088.051,2747465731.056,7548567900000000000.000,8740431300000000000.000,10987680912,10987681912,4,D
98.693,97.561,90.193,78.413,153,112,41,1101,0,FALSO,VERO,73.203,23499396.000,64193472.000,101292660.339,159593537.854,25470098800000000.000,27126107200000000.000,2631932156,2631932156,5,D
99.131,86.197,83.072,70.353,2420,2312,108,1266,1,VERO,VERO,95.537,6734646.500,92233584.000,56319933.844,299434898.296,89661256000000000.000,96971316000000000.000,9961237583,15570450899,201,D
98.270,98.105,95.788,94.903,214,119,95,1488,77,FALSO,VERO,55.607,100417808.000,125750032.000,644862961.778,719567359.578,517777377000000000.000,518418805000000000.000,11946251799,11949712713,4,D
97.086,85.714,82.441,60.484,131,124,7,1437,20,FALSO,VERO,94.656,96048088.000,1698243580.000,287885754.853,2369374303.995,5613934300000000000.000,8180965700000000000.000,11887706213,11909960692,24,D
99.322,97.778,88.108,53.391,2302,2257,45,1449,1449,VERO,VERO,98.045,8824614.000,391736256.000,76605804.229,441470814.737,194896493000000000.000,341517829000000000.000,17628134603,19917100334,106,D
97.628,98.038,91.149,87.923,195,134,61,1842,166,FALSO,VERO,68.718,75919904.000,166774800.000,324962186.302,502813399.972,252821291000000000.000,261075858000000000.000,10173264776,10173264776,3,D
97.934,97.475,81.699,78.152,284,218,66,1137,1137,FALSO,VERO,76.761,6085861.000,20101786.000,35116203.699,62994644.617,3968323760000000.000,4164773150000000.000,1326717800,1326717800,5,D
93.505,66.667,93.081,63.772,279,276,3,2035,52,FALSO,VERO,98.925,19367440.000,1781602820.000,84710373.922,2357392632.900,5557300100000000000.000,8662773400000000000.000,5344808675,5345417998,20,D
97.952,81.633,85.895,31.807,622,615,7,1926,456,FALSO,VERO,98.875,15574476.000,1198873730.000,69374209.072,687053787.395,472042916000000000.000,1872239880000000000.000,8392116290,9578286938,6,D
99.187,97.368,62.412,45.337,163,125,38,686,686,FALSO,VERO,76.687,114588864.000,224663232.000,150277831.873,194296971.480,37751311000000000.000,49867676000000000.000,8537201991,14323607907,2,D
85.187,97.884,95.912,92.835,281,214,67,1588,668,FALSO,VERO,76.157,41413516.000,132265248.000,347183614.238,626071485.171,391965484000000000.000,400219518000000000.000,8861770428,8862480428,11,D
81.633,75.000,82.360,69.194,11,7,4,935,1,FALSO,FALSO,63.636,1257763970.000,2201086720.000,2685070893.691,3249603339.327,10559922000000000000.000,11449780000000000000.000,8804346664,8804347664,1,D
98.136,94.183,89.909,70.640,265,246,19,1213,574,FALSO,VERO,92.830,31368546.000,402957504.000,195670191.078,653483440.398,427040592000000000.000,565119015000000000.000,7656191863,7716662195,12,D
99.196,99.528,95.915,93.001,738,498,240,1160,0,FALSO,VERO,67.480,16937308.000,35143536.000,121711821.243,173974767.888,30267231500000000.000,30598667700000000.000,8434450492,8434781283,6,D
99.013,85.714,92.133,70.263,145,138,7,1878,11,FALSO,VERO,95.172,38956992.000,761447810.000,216656874.233,1005499479.615,1011029120000000000.000,1533021990000000000.000,5330134498,5376064801,9,D
9.844,90.000,97.992,75.388,25612,25602,10,521,1,VERO,VERO,99.961,229691.280,584368900.000,3168672.175,1098856622.583,1207485870000000000.000,1548704600000000000.000,5843689069,5879969980,10565,D
87.666,97.863,89.263,80.187,1760,1682,78,1870,1870,FALSO,VERO,95.568,3494432.500,75023536.000,33877372.181,296345534.503,87820708000000000.000,92937088000000000.000,5851836108,5877656855,17,D
96.597,88.889,74.975,71.363,55,46,9,1120,189,FALSO,FALSO,83.636,71560368.000,365752960.000,162250558.101,546397139.985,298549843000000000.000,385099137000000000.000,3291776928,3291776928,3,D
98.296,87.500,76.071,79.913,402,394,8,768,410,FALSO,VERO,98.010,2247737.000,110701056.000,7218193.845,225906056.252,51033549000000000.000,62795665000000000.000,885608437,885608437,13,D
96.122,83.333,84.642,63.137,44,38,6,928,50,FALSO,FALSO,86.364,38466372.000,243620352.000,96817578.833,301955334.736,91177028000000000.000,133265199000000000.000,1461722048,1461722048,4,D
93.182,89.197,70.942,77.074,63,44,19,1774,19,FALSO,FALSO,69.841,126759840.000,293548544.000,262083482.043,571003009.067,326044402000000000.000,353862940000000000.000,5577422447,5577433447,4,D
99.339,97.059,87.196,69.941,304,270,34,1474,80,FALSO,VERO,88.816,21776350.000,172672160.000,86931194.754,269422534.690,72588504000000000.000,95358058000000000.000,5870853600,5879614968,9,D
96.657,50.000,86.482,49.022,230,228,2,1896,370,FALSO,VERO,99.130,23758514.000,2555500290.000,69423704.544,2505500288.000,6277531300000000000.000,12687249000000000000.000,5111000547,5416938913,4,D
94.215,0.000,91.336,0.000,23,22,1,223,223,FALSO,FALSO,95.652,3786991.200,0.000,15070906.089,0.000,0.000,14341302600000.000,0,83313811,2,D
94.213,66.667,90.484,54.866,46,43,3,1152,270,FALSO,FALSO,93.478,10007699.000,139707600.000,45299747.084,148693072.264,22109630500000000.000,38931692000000000.000,419122775,430331119,2,D
97.350,0.000,77.471,0.000,44,43,1,1376,90,FALSO,FALSO,97.727,1579718.000,27849700.000,3202684.951,0.000,0.000,690111920000000.000,27849699,67927866,3,D
97.265,66.667,94.319,66.007,177,174,3,2147,15,FALSO,VERO,98.305,3593162.200,168333360.000,37773397.606,234532601.666,55005539000000000.000,82144883000000000.000,505000100,625210723,20,D
89.536,0.000,88.254,0.000,513,512,1,909,909,VERO,VERO,99.805,2390821.800,510000.000,12547252.255,0.000,0.000,3537490410000.000,510000,1224101659,76,D
96.490,0.000,63.934,0.000,36,35,1,1398,33,FALSO,FALSO,97.222,1895437.000,0.000,2608894.790,0.000,0.000,3592681420000.000,0,66340304,2,D
94.792,50.000,87.908,46.451,26,24,2,1949,1,FALSO,FALSO,92.308,9182253.000,105666600.000,27848221.827,98166600.000,9636681500000000.000,18945910300000000.000,211333200,220374082,2,D
90.810,50.000,91.485,11.611,49,47,2,1532,25,FALSO,FALSO,95.918,4876176.500,90636496.000,17572900.022,21047060.000,442978733000000.000,7797810600000000.000,181272988,229180304,13,D
96.150,0.000,47.957,0.000,32,31,1,1019,49,FALSO,FALSO,96.875,2468598.500,0.000,2324653.893,0.000,0.000,6093978700000.000,0,76526557,2,D
98.251,97.561,86.222,66.895,525,484,41,1821,101,FALSO,VERO,92.190,10484384.000,123737288.000,43644555.007,194618580.245,37876393000000000.000,50702613000000000.000,5073228436,5074444408,5,D
97.991,0.000,80.903,0.000,636,635,1,1407,1407,FALSO,VERO,99.843,3514235.200,0.000,14556601.393,0.000,0.000,12349849200000.000,0,2231540342,46,D
94.896,0.000,52.196,0.000,24,23,1,1208,1,FALSO,FALSO,95.833,3270729.800,0.000,4017275.510,0.000,0.000,10697673000000.000,0,75226785,3,D
99.194,0.000,78.340,0.000,644,642,2,1390,1390,FALSO,VERO,99.689,5105987.000,100000000.000,13688235.692,0.000,0.000,9004874100000000.000,200000000,3278043315,14,D
91.967,0.000,71.144,0.000,20,19,1,587,34,FALSO,FALSO,95.000,16935844.000,1010000.000,28447552.164,0.000,0.000,253632499000000.000,1010000,321781024,6,D
98.715,90.000,75.691,57.308,620,610,10,1406,1406,VERO,VERO,98.387,5983264.500,145987040.000,18806338.946,174277667.481,30372707300000000.000,49973757000000000.000,1459870277,3649794125,60,D
97.559,88.889,47.231,36.325,61,52,9,467,85,FALSO,FALSO,85.246,364672672.000,2100750080.000,342660461.629,1550549791.909,2404204490000000000.000,5418170100000000000.000,18906751132,18962978926,8,N
0.000,0.099,0.000,99.950,2014,1,2013,1,1,FALSO,VERO,0.050,1000000.000,496.771,0.000,22282.824,496524256.000,999523810000.000,1000000,1000000,1,N
95.619,93.750,16.744,23.503,59,43,16,23,23,FALSO,FALSO,72.881,118651168.000,318875008.000,50775787.913,141711359.372,20082107400000000.000,60171693000000000.000,5102000000,5102000000,4,N
85.714,83.333,29.754,32.219,26,14,12,1,1,FALSO,FALSO,53.846,89714288.000,104666664.000,48796118.949,63557499.531,4039555520000000.000,4263128970000000.000,1256000000,1256000000,14,N
95.734,50.000,26.921,48.523,33,31,2,1656,21,FALSO,FALSO,93.939,28387096.000,440000000.000,13599519.487,427000000.000,182329007000000000.000,351754179000000000.000,880000000,880000000,3,N
92.560,87.500,91.499,131.073,61,53,8,781,1,FALSO,FALSO,86.885,166799.900,1103795.600,721381.520,2760212.386,7618772300000.000,8496733000000.000,8830365,8840395,14,N
98.079,97.732,65.440,62.388,100,54,46,256,49,FALSO,FALSO,54.000,18868896.000,22150442.000,34861413.871,36960245.991,1366059850000000.000,1376828270000000.000,1018920302,1018920302,6,N
99.350,99.028,40.720,62.410,533,421,112,2165,38,FALSO,VERO,78.987,84410576.000,295389216.000,64632876.951,842827610.460,710358660000000000.000,754870600000000000.000,33083585543,35536824323,13,N
95.333,85.714,50.337,54.681,37,30,7,40,40,FALSO,FALSO,81.081,433700000.000,1858714370.000,455876534.663,2181570273.143,4759248700000000000.000,6789914800000000000.000,13011000000,13011000000,12,N
97.872,66.667,13.660,57.265,50,47,3,145,16,FALSO,FALSO,94.000,16062332.000,251643216.000,4046922.408,284569800.302,80979968000000000.000,136478324000000000.000,754929605,754929605,8,N
97.613,97.531,54.324,55.814,151,79,72,60,60,FALSO,VERO,52.318,113371152.000,124393360.000,313475057.242,333560470.288,111262580000000000.000,111384093000000000.000,8956322251,8956322251,7,N
81.570,0.000,1.958,0.000,59,58,1,631,133,FALSO,FALSO,98.305,102677512.000,0.000,5903260.162,0.000,0.000,10542671500000000.000,0,5955296208,2,N
99.334,66.667,33.094,0.445,155,152,3,1569,112,FALSO,VERO,98.065,7472179.500,202364480.000,4366209.420,1908895.354,3643881550000.000,37986658000000000.000,607093454,1135771385,7,N
80.210,50.000,77.749,11.129,41,39,2,1099,150,FALSO,FALSO,95.122,10088236.000,184184240.000,25201107.633,40994880.000,1680580170000000.000,31989996600000000.000,368368487,393441228,4,N
81.946,95.139,14.225,38.854,86,62,24,895,232,FALSO,FALSO,72.093,303016064.000,782791680.000,103351965.497,628637403.915,395184992000000000.000,625369570000000000.000,18787000000,18787000000,2,N
95.210,89.256,67.070,75.159,56,45,11,1551,78,FALSO,FALSO,80.357,14012975.000,57325800.000,19014279.004,112096642.717,12565658000000000.000,14441659000000000.000,630583771,630583771,2,N
95.680,90.909,53.945,54.372,36,25,11,60,60,FALSO,FALSO,69.444,226000000.000,513636352.000,304998360.651,646906944.654,418488591000000000.000,501223405000000000.000,5650000000,5650000000,3,N
89.342,94.118,62.689,71.033,76,59,17,1788,2,FALSO,FALSO,77.632,97417760.000,338097056.000,205096057.673,513096408.434,263267958000000000.000,321194422000000000.000,5747650516,5747650516,2,N
94.896,66.667,7.826,30.917,26,23,3,622,92,FALSO,FALSO,88.462,569826110.000,4368666600.000,93944318.464,2562935977.180,6568640800000000000.000,20999830000000000000.000,13106000000,13106000000,2,N
98.438,66.667,33.563,56.508,67,64,3,73,73,FALSO,FALSO,95.522,7429856.000,158503600.000,4623597.773,186429397.094,34755921200000000.000,57579195000000000.000,475510782,475510782,7,N
92.500,90.278,70.270,69.138,32,20,12,1471,29,FALSO,FALSO,62.500,2303949820.000,3839916800.000,3813638334.398,6643960189.364,44142208000000000000.000,46501395000000000000.000,46079000000,46079000000,12,N
80.143,75.000,47.251,28.140,62,58,4,25,25,FALSO,FALSO,93.548,3568965.500,51750000.000,3658302.068,27842189.210,775187510000000.000,3096599480000000.000,207000000,207000000,12,N
98.093,97.279,41.858,51.109,121,79,42,97,97,FALSO,VERO,65.289,131569512.000,247476000.000,252373393.725,389932819.666,152047580000000000.000,165481946000000000.000,10393993043,10393993043,4,N
87.760,90.278,8.514,49.919,62,50,12,333,100,FALSO,FALSO,80.645,100859984.000,384583328.000,21012386.823,353981990.169,125303240000000000.000,205802188000000000.000,4615000000,5043000000,3,N
94.046,84.375,49.685,25.485,578,570,8,1925,124,FALSO,VERO,98.616,11887709.000,116000000.000,20120113.407,55859197.989,3120249990000000.000,13959618700000000.000,928000000,6776000000,20,N
95.680,95.680,54.720,54.720,50,25,25,62,62,FALSO,FALSO,50.000,160670944.000,160670944.000,240669402.253,240669402.253,57921779000000000.000,57921779000000000.000,4016773281,4016773281,3,N
39.589,81.755,60.214,68.193,270,192,78,1547,726,FALSO,VERO,71.111,213642576.000,525889696.000,561747251.610,864695005.646,747697390000000000.000,845195410000000000.000,41019403127,41019403127,6,N
92.578,81.633,41.038,61.590,39,32,7,85,85,FALSO,FALSO,82.051,95968736.000,438714304.000,76127148.728,603175772.293,363821010000000000.000,481295513000000000.000,3071000000,3071000000,4,N
97.836,98.034,39.733,36.361,298,217,81,152,152,FALSO,VERO,72.819,73267264.000,196234528.000,59345062.094,155834376.889,24284355000000000.000,39405311000000000.000,15895000000,15899000000,10,N
94.174,66.667,8.450,31.492,32,29,3,603,179,FALSO,FALSO,90.625,913275840.000,8828333100.000,182198053.768,5163502031.213,26661752000000000000.000,89309890000000000000.000,26485000000,26485000000,2,N
93.211,66.667,4.849,37.457,52,49,3,114,38,FALSO,FALSO,94.231,109673480.000,1756666500.000,11694037.823,1228327426.079,1508788200000000000.000,4221374780000000000.000,5270000000,5374000000,4,N
88.209,0.000,48.252,0.000,43,42,1,48,48,FALSO,FALSO,97.674,8238095.000,335000000.000,10288249.019,0.000,0.000,106773351000000000.000,335000000,346000000,3,N
49.706,81.000,37.863,50.027,67,47,20,864,22,FALSO,FALSO,70.149,26367842.000,61964416.000,30885534.396,67614625.232,4571737700000000.000,5838853400000000.000,1239288299,1239288299,3,N
92.290,91.975,16.513,13.544,78,42,36,140,35,FALSO,FALSO,53.846,92452376.000,107861104.000,35013060.407,41734712.955,1741785870000000.000,1979215690000000.000,3883000000,3883000000,2,N
64.594,0.000,17.809,0.000,82,81,1,907,390,FALSO,FALSO,98.780,28456764.000,0.000,13543755.686,0.000,0.000,809787430000000.000,0,2305000000,2,N
74.556,0.000,50.509,0.000,40,39,1,805,1,FALSO,FALSO,97.500,80615.380,0.000,152631.049,0.000,0.000,6498840100.000,0,3144000,2,N
97.778,83.333,24.271,46.106,51,45,6,351,1,FALSO,FALSO,88.235,9362513.000,70218856.000,4033080.284,57697267.190,3328974660000000.000,7032469400000000.000,421313124,421313124,8,N
89.131,95.833,44.285,31.467,243,219,24,359,359,FALSO,VERO,90.123,85077592.000,764166720.000,104000386.318,483899676.702,234158885000000000.000,695320910000000000.000,18340000000,18632000000,2,N
93.945,90.909,5.221,37.741,45,34,11,786,54,FALSO,FALSO,75.556,112941200.000,349090944.000,10767437.776,242757812.175,58931362000000000.000,114698038000000000.000,3840000000,3840000000,3,N
92.734,90.000,48.089,45.910,27,17,10,27,27,FALSO,FALSO,62.963,207269744.000,352358560.000,234023214.400,311301520.894,96908636000000000.000,117959404000000000.000,3523585754,3523585754,2,N
96.289,90.909,44.303,39.161,43,32,11,938,99,FALSO,FALSO,74.419,150968752.000,272363616.000,120642673.596,190760331.653,36389501000000000.000,51126221000000000.000,2996000000,4831000000,2,N
99.254,98.214,36.712,53.305,190,134,56,343,343,FALSO,VERO,70.526,13443348.000,32167998.000,12213227.992,40759615.977,1661346230000000.000,2011958510000000.000,1801407977,1801407977,4,N
91.907,92.361,56.501,56.564,51,27,24,84,84,FALSO,FALSO,52.941,4419036700.000,4971417100.000,6290201116.230,6766525168.545,45785860000000000000.000,46090986000000000000.000,119314000000,119314000000,5,N
96.354,87.500,65.786,47.522,56,48,8,720,74,FALSO,FALSO,85.714,19675110.000,118050656.000,29337536.546,108436737.509,11758525200000000.000,21436274100000000.000,944405241,944405241,2,N
94.444,92.857,41.806,39.344,32,18,14,254,33,FALSO,FALSO,56.250,710888770.000,913999870.000,534026428.604,652944970.703,426337180000000000.000,467591303000000000.000,12796000000,12796000000,2,N
44.346,66.667,35.105,11.814,48,45,3,94,8,FALSO,FALSO,93.750,1755555.500,26333334.000,1565681.329,5792715.732,33555556100000.000,637622660000000.000,79000000,79000000,8,N
96.847,96.000,28.086,32.776,71,41,30,152,46,FALSO,FALSO,57.746,112926832.000,154333360.000,64140238.975,105668767.713,11165887400000000.000,12880387900000000.000,4630000000,4630000000,5,N
94.411,94.411,39.817,39.817,58,29,29,78,78,FALSO,FALSO,50.000,65034764.000,65034764.000,46400029.870,46400029.870,2152962680000000.000,2152962680000000.000,1886008154,1886008154,3,N
82.364,75.000,61.277,44.550,61,57,4,689,151,FALSO,FALSO,93.443,200394480.000,2855622400.000,571002356.800,2352875624.322,5536023500000000000.000,12586259000000000000.000,11422489005,11422489005,3,N
45.581,0.000,20.930,0.000,38,37,1,1260,56,FALSO,FALSO,97.368,1299946.000,7000000.000,603700.389,0.000,0.000,32490616000000.000,7000000,48098000,2,N
92.839,50.000,85.702,32.684,166,164,2,906,29,FALSO,VERO,98.795,743218.300,60889328.000,2238615.708,39802326.000,1584225130000000.000,5201779800000000.000,121778664,121887827,12,N
96.289,91.667,52.598,74.343,44,32,12,1560,25,FALSO,FALSO,72.727,15989394.000,40778692.000,17993242.533,89215507.489,7959407100000000.000,8573916499999999.000,489344287,511660605,3,N
93.250,91.837,63.383,65.684,54,40,14,342,7,FALSO,FALSO,74.074,82999992.000,237142864.000,107292822.013,350584590.114,122909552000000000.000,146669577000000000.000,3320000000,3320000000,3,N
