GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,paying,paid,numberAddressesPaidAfterTheyPaid,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendBTC,totalIncomeBTC,totalSendUSD,totalIncomeUSD,maxNumTransRec,maxDiffDay,minResponsiveness,avgResponsiveness,maxResponsiveness,type
95.65,66.67,3.14,26.97,26,23,3,1,6,0,126,125,FALSO,FALSO,88.46,7260087300.00,55660663000.00,639940931.70,28182299017.96,794241950000000000000.00,3136858500000000000000.00,166982000000,166982000000,11999.99,10673.15,2,166982000000,8482124.00,8482124.00,8482124.00,N
97.37,0.00,22.30,NaN,41,40,1,39,0,0,2242,2242,FALSO,FALSO,97.56,2674998.50,0.00,1132825.18,0.00,0.00,7155616800000.00,0,106999928,0.00,8.53,7,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
88.44,81.63,42.33,59.94,28,21,7,2,6,0,1836,1835,FALSO,FALSO,75.00,146666656.00,440000032.00,247002467.35,596938150.69,356335157000000000.00,442379639000000000.00,3080000000,3080000000,16144.37,451.70,3,1850000000,90768310.00,90768310.00,90768310.00,N
94.75,90.91,32.44,30.91,47,36,11,34,14,0,102,42,FALSO,FALSO,76.60,148903616.00,487321056.00,95824402.66,274035667.24,75095545000000000.00,189621896000000000.00,5360531291,5360531291,890.54,878.25,3,818000000,438.00,23146.00,94289.00,N
55.92,0.00,22.61,0.00,27,26,1,26,1,0,683,682,FALSO,FALSO,96.30,1576923.10,41000000.00,742815.70,0.00,0.00,1554178880000000.00,41000000,41000000,0.00,6.42,1,41000000,56236564.00,56236564.00,56236564.00,N
98.04,66.67,33.14,16.48,54,51,3,50,5,0,642,642,FALSO,FALSO,94.44,7036882.00,118846904.00,4216004.35,38135372.53,1454306660000000.00,13955787600000000.00,356540705,358880992,86.42,32.57,5,171844777,203420.00,203420.00,203420.00,N
92.44,92.44,23.23,23.23,30,15,15,15,20,0,83,33,FALSO,FALSO,50.00,359400000.00,359400000.00,150903412.82,150903412.82,22771839300000000.00,22771839300000000.00,5391000000,5391000000,1000.64,945.13,2,608000000,337.00,167170.00,1553979.00,N
96.79,83.33,54.96,54.79,80,74,6,50,11,0,788,781,FALSO,FALSO,92.50,540864900.00,6670667300.00,718234706.03,7624395959.90,58131410000000000000.00,95705890000000000000.00,40024000000,40024000000,26477.60,2498.61,3,21858000000,17039.00,11155777.00,55564772.00,N
95.66,75.00,60.12,50.62,32,28,4,10,6,0,24,23,FALSO,FALSO,87.50,120142872.00,841000060.00,163431440.80,815564860.88,665146050000000000.00,1184781090000000000.00,3364000000,3364000000,227.60,145.16,13,2400000000,146457.00,202403.00,258350.00,N
96.88,95.45,43.87,32.81,68,46,22,42,35,0,1083,923,FALSO,FALSO,67.65,326913056.00,683545470.00,259895031.07,436829882.87,190820346000000000.00,318007041000000000.00,15038000000,15038000000,7012.75,1162.50,1,2011000000,1065.00,1644481.00,16329288.00,N
91.63,72.00,51.14,32.03,32,27,5,27,9,0,53,49,FALSO,FALSO,84.38,12000000.00,60200000.00,12202003.48,35244290.32,1242159970000000.00,3565399990000000.00,301000000,324000000,39.09,41.11,2,78000000,2112.00,295530.00,1287284.00,N
90.44,92.04,64.72,55.98,93,76,17,16,12,0,85,50,FALSO,FALSO,81.72,11684211.00,52117648.00,20347126.54,61846948.05,3825044990000000.00,5459907900000000.00,886000000,888000000,88.44,70.96,12,252000000,420.00,111176.00,610919.00,N
94.97,50.00,17.80,38.25,28,26,2,26,4,0,41,38,FALSO,FALSO,92.86,149269216.00,1940499970.00,51714123.72,1484499968.00,2203740160000000000.00,5412247600000000000.00,3881000000,3881000000,264.10,106.15,2,3239000000,3049.00,124198.00,245348.00,N
99.23,97.94,42.94,69.34,547,490,57,331,38,0,140,139,FALSO,VERO,89.58,156018336.00,1341210370.00,144939472.03,3817695122.53,14574796000000000000.00,15979477000000000000.00,76449000000,76449000000,1991.63,699.67,22,28066000000,0.00,18176.00,341802.00,N
97.62,75.00,22.03,62.93,46,42,4,37,5,0,70,68,FALSO,FALSO,91.30,8721333.00,91573992.00,3398953.57,124559124.80,15514975600000000.00,22379534800000000.00,366295969,366295969,42.48,65.62,8,306420776,5459.00,1108877.00,3938742.00,N
96.79,89.07,58.45,82.93,123,92,31,91,34,0,74,73,FALSO,VERO,74.80,102967400.00,305580704.00,156318271.20,1051520947.63,1105695830000000000.00,1146748230000000000.00,9473000000,9473000000,87.95,87.25,9,5960000000,0.00,284027.00,1187211.00,N
99.71,99.67,61.66,50.38,1119,807,312,798,234,1,2318,1087,FALSO,VERO,72.12,111323872.00,287890656.00,170733391.66,396286099.51,157042730000000000.00,188218558000000000.00,89821878197,89838375643,56231.44,50482.67,6,8069028700,0.00,49954.00,4336449.00,N
99.80,91.84,31.22,75.45,556,542,14,462,20,0,1951,1951,FALSO,VERO,97.48,7244282.00,87386344.00,4007587.40,160808460.77,25859362400000000.00,32282108100000000.00,1223408724,3926404706,5577.78,269.38,9,603233249,88023.00,16959809.00,31150298.00,N
98.62,88.89,29.51,42.98,157,148,9,143,9,0,73,68,FALSO,VERO,94.27,387168832.00,6366777300.00,215656802.82,5405713438.37,29221738000000000000.00,64977460000000000000.00,57301000000,57301000000,427.91,356.89,5,16677000000,2592.00,11673.00,26363.00,N
95.84,85.71,19.31,63.71,81,74,7,13,8,0,98,69,FALSO,FALSO,91.36,97891904.00,1034857150.00,35349057.70,1329670413.55,1768023360000000000.00,2645927180000000000.00,7244000000,7244000000,483.22,344.69,4,3825000000,34457.00,256378.00,1106568.00,N
93.27,0.00,76.51,0.00,52,51,1,51,1,0,2037,2036,FALSO,FALSO,98.08,702980740.00,35852026000.00,1344277135.36,0.00,0.00,1235455500000000000000.00,35852027600,35852027600,0.00,970.06,2,35852027600,30173413.00,30173413.00,30173413.00,N
38.00,0.00,34.36,NaN,31,30,1,11,0,0,24,24,FALSO,FALSO,96.77,1733333.40,0.00,1481740.67,0.00,0.00,3004444700000.00,0,52000000,0.00,8.90,8,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
99.28,75.00,25.35,43.69,143,139,4,130,5,0,486,485,FALSO,VERO,97.20,20728154.00,720303420.00,9609502.77,632714216.64,400327270000000000.00,889732850000000000.00,2881213744,2881213744,302.41,422.48,8,1779157273,53409.00,19454597.00,38855785.00,N
95.49,82.64,49.07,42.52,350,339,11,38,11,0,70,36,FALSO,VERO,96.86,17067850.00,526000000.00,55452641.59,405387805.35,164339261000000000.00,423351216000000000.00,5786000000,5786000000,356.17,264.60,19,3385000000,0.00,75330.00,311238.00,N
95.83,75.00,12.36,40.87,28,24,4,24,5,0,5,3,FALSO,FALSO,85.71,10673837.00,64043020.00,2382217.54,54709275.98,2993104990000000.00,5841374600000000.00,256172072,256172072,22.39,21.79,8,114497138,0.00,1669.00,3828.00,N
86.28,66.67,89.91,48.35,45,42,3,29,3,0,929,379,FALSO,FALSO,93.33,24362966.00,341014848.00,68939196.97,305860316.97,93550530000000000.00,193818972000000000.00,1023044571,1023244571,687.03,73.64,3,742000000,248592.00,6673639.00,17816636.00,N
97.32,97.32,40.82,40.82,82,41,41,41,50,0,695,219,FALSO,FALSO,50.00,133612432.00,133612448.00,98706065.33,98706064.23,9742885300000000.00,9742887400000000.00,5478110000,5478110000,667.11,625.59,3,269000000,957.00,557347.00,17617842.00,N
98.97,87.50,3.45,70.50,370,362,8,43,14,0,633,632,FALSO,VERO,97.84,105034064.00,4752791000.00,12375535.09,8330517968.46,69397530000000000000.00,90999190000000000000.00,38022330943,38022330943,8222.13,3527.54,4,26412877208,904.00,1368185.00,8141165.00,N
97.44,88.89,16.20,29.61,69,60,9,60,9,0,22,15,FALSO,FALSO,86.96,94400000.00,629333310.00,28321487.72,373476460.66,139484655000000000.00,425638371000000000.00,5664000000,5664000000,300.29,218.94,8,1376000000,3426.00,88523.00,292026.00,N
93.53,90.00,34.49,58.88,76,66,10,66,15,0,1084,1083,FALSO,FALSO,86.84,3951112.80,26077346.00,2441609.09,31796332.82,1011006710000000.00,1500577020000000.00,260773457,260773457,1998.40,9.54,9,114941716,76492104.00,76492104.00,76492104.00,N
68.76,93.83,58.71,63.28,181,163,18,146,31,1,1567,1220,FALSO,VERO,90.06,182041312.00,1648485890.00,585954250.13,2089501916.70,4366018560000000000.00,6516478300000000000.00,29672744720,29672744720,19535.70,14531.89,9,6969594382,1461.00,564447.00,2204400.00,N
80.47,0.00,47.43,NaN,33,32,1,30,0,0,815,815,FALSO,FALSO,96.97,9256250.00,0.00,8467435.32,0.00,0.00,85678163000000.00,0,296200000,0.00,14.56,2,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
86.88,44.44,2.28,61.34,39,36,3,4,3,0,155,154,FALSO,FALSO,92.31,104250000.00,1250999940.00,5051814.86,1627759840.46,2649602020000000000.00,3964636890000000000.00,3753000000,3753000000,316.28,52.90,3,3553000000,91229.00,2175525.00,4259821.00,N
73.60,50.00,4.32,4.54,27,25,2,3,2,0,478,477,FALSO,FALSO,92.59,98571360.00,1222000000.00,16213134.07,110999936.00,12320985600000000.00,1274412870000000000.00,2444000000,2464283824,290.59,404.61,2,1233000000,72275.00,18400696.00,36729117.00,N
99.05,98.39,65.99,56.07,210,136,74,133,117,1,1762,726,FALSO,VERO,64.76,638846910.00,1174097150.00,1027312933.11,1457981249.60,2125709470000000000.00,2412202340000000000.00,86883199621,86883199621,8540.59,6128.40,3,5468000000,0.00,535348.00,16937394.00,N
93.33,92.86,50.82,55.30,29,15,14,15,14,0,40,39,FALSO,FALSO,51.72,101666672.00,108928568.00,94556273.66,113424273.01,12865066700000000.00,12917801300000000.00,1525000000,1525000000,99.85,63.02,5,367000000,800.00,40856.00,93764.00,N
96.87,92.86,66.27,44.84,70,56,14,56,13,0,744,135,FALSO,FALSO,80.00,58184740.00,232738944.00,99425058.12,198528674.04,39413631000000000.00,69882820000000000.00,3258345694,3258345694,930.64,372.16,3,708000000,794.00,69590.00,243023.00,N
85.65,93.43,41.71,42.91,1301,1284,17,220,19,0,70,69,FALSO,VERO,98.69,6415050.00,484529408.00,6732179.01,372016937.89,138396594000000000.00,366989940000000000.00,8237000000,8237000000,1101.11,1220.87,37,5774000000,8776.00,80601.00,212489.00,N
75.00,96.68,30.57,67.65,36,4,32,3,56,0,1385,1385,FALSO,FALSO,11.11,125602376.00,412975392.00,70312926.11,1265723407.17,1602055790000000000.00,1684638870000000000.00,13215210845,502409505,4473.40,42.83,2,7423848346,3064856.00,3064856.00,3064856.00,N
86.50,77.78,18.79,28.22,26,20,6,20,7,0,57,52,FALSO,FALSO,76.92,120000000.00,400000000.00,58481621.04,217665645.74,47378330000000000.00,125778332000000000.00,2400000000,2400000000,429.55,265.37,3,752000000,48242.00,230537.00,413343.00,N
80.00,88.89,56.97,76.63,14,5,9,4,15,0,1068,1068,FALSO,FALSO,35.71,19660468.00,70552616.00,23778348.52,154573582.22,23892993300000000.00,26483000300000000.00,634973653,98302347,1090.58,17.67,1,506403948,56651208.00,56651208.00,56651208.00,N
97.22,0.00,16.36,NaN,37,36,1,35,0,0,73,73,FALSO,FALSO,97.30,2089663.10,0.00,657699.36,0.00,0.00,4366691990000.00,0,75227866,0.00,10.03,5,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
93.40,89.97,61.06,68.25,65,48,17,48,32,0,1141,392,FALSO,FALSO,73.85,1328333060.00,3750588160.00,2540732898.47,5546647585.35,30765299000000000000.00,36632618000000000000.00,63760000000,63760000000,62669.58,49665.19,1,18355000000,14925.00,263349.00,799842.00,N
93.75,92.31,31.54,39.45,29,16,13,16,23,0,24,21,FALSO,FALSO,55.17,59125000.00,72769232.00,32963758.51,57927214.07,3355562120000000.00,3541727210000000.00,946000000,946000000,156.18,155.53,1,240000000,2175.00,62902.00,211489.00,N
88.89,88.89,48.94,48.94,30,15,15,11,29,2,8,7,FALSO,FALSO,50.00,40466668.00,40466668.00,48687939.30,48687939.30,2370515390000000.00,2370515390000000.00,607000000,607000000,3.16,2.53,11,200000000,0.00,1587.00,5317.00,N
90.23,75.00,28.89,42.33,105,101,4,91,6,0,422,421,FALSO,VERO,96.19,85753432.00,2165274620.00,58164013.42,1673299726.63,2799931920000000000.00,7124340600000000000.00,8661098565,8661098565,606.00,954.90,7,4201000000,12031.00,146266.00,225431.00,N
98.97,50.00,29.48,43.67,101,99,2,88,3,0,920,919,FALSO,VERO,98.02,2495228.20,123513808.00,1606699.00,107878432.00,11637756100000000.00,26283252100000000.00,247027612,247027612,1718.98,32.67,9,231392240,63516529.00,63516529.00,63516529.00,N
96.63,81.63,50.34,45.12,101,94,7,89,8,0,270,263,FALSO,VERO,93.07,40905796.00,549306430.00,42918848.40,529840819.68,280731312000000000.00,539202495000000000.00,3845145067,3845145067,257.30,432.17,2,2087000000,1419.00,51601.00,82484.00,N
94.73,91.84,14.40,51.23,97,83,14,8,16,0,282,257,FALSO,FALSO,85.57,91230800.00,540868540.00,25170126.78,530715017.74,281658372000000000.00,483832567000000000.00,7572160660,7572160660,913.97,588.79,3,3183000000,21258.00,1443345.00,12394602.00,N
92.44,91.84,9.26,3.84,29,15,14,15,14,0,10,2,FALSO,FALSO,51.72,105466672.00,113000008.00,20287489.30,7819389.82,61142857000000.00,117893891000000.00,1582000000,1582000000,116.03,114.31,3,131000000,0.00,15184.00,39982.00,N
88.76,88.76,58.12,58.12,26,13,13,13,17,0,23,21,FALSO,FALSO,50.00,453461536.00,453461504.00,533448101.78,533448089.23,284566872000000000.00,284566872000000000.00,5895000000,5895000000,44.38,43.58,5,1815000000,0.00,12302.00,24299.00,N
92.31,92.31,40.76,40.76,26,13,13,12,18,0,11,1,FALSO,FALSO,50.00,121307688.00,121307688.00,89079383.16,89079383.16,7935136200000000.00,7935136200000000.00,1577000000,1577000000,175.44,160.95,4,179000000,1418.00,10116.00,59268.00,N
95.01,98.01,39.30,86.50,172,109,63,35,56,1,2101,2098,FALSO,VERO,63.37,78607280.00,137297648.00,98849334.10,375070973.35,140678209000000000.00,144122764000000000.00,8649751353,8568195825,4014.47,2161.52,2,2121705771,27514.00,556533.00,1951103.00,N
0.00,14.20,0.00,6.59,27,14,13,8,17,1,2,0,FALSO,FALSO,51.85,100000000.00,107692304.00,0.00,26646935.50,710059290000000.00,769230790000000.00,1400000000,1400000000,6.10,6.13,11,0,0.00,132.00,379.00,N
96.77,80.00,73.86,43.45,72,67,5,62,4,0,230,207,FALSO,FALSO,93.06,720537280.00,9655199700.00,1554078780.12,7901748973.12,62437637000000000000.00,142265830000000000000.00,48276000000,48276000000,4808.89,5721.97,3,20167000000,37767.00,2069323.00,8964510.00,N
96.88,96.57,28.84,40.59,80,49,31,49,53,0,223,71,FALSO,FALSO,61.25,65367344.00,103322584.00,33135278.61,91587216.43,8388217700000000.00,9828816800000000.00,3203000000,3203000000,251.11,334.56,2,411000000,157.00,63558.00,479928.00,N
95.83,95.65,45.74,46.95,47,24,23,24,27,0,138,18,FALSO,FALSO,51.06,1241749890.00,1295739010.00,1249427432.59,1284414877.20,1649721810000000000.00,1652636350000000000.00,29802000000,29802000000,1663.90,1380.61,1,5966000000,1863.00,37313.00,152022.00,N
97.61,0.00,50.65,NaN,54,53,1,51,0,0,80,80,FALSO,FALSO,98.15,41866356.00,0.00,38163574.91,0.00,0.00,1752791720000000.00,0,2218916795,0.00,36.61,6,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
81.76,86.42,86.59,80.93,45,27,18,27,35,0,4,1,FALSO,FALSO,60.00,69444448.00,104166664.00,194291172.26,230289493.95,53033247000000000.00,54238879000000000.00,1875000000,1875000000,64.58,64.21,24,2000000,900.00,6320.00,21382.00,N
82.03,77.78,1.34,27.60,38,32,6,2,7,0,367,365,FALSO,FALSO,84.21,102625000.00,547333310.00,2546443.60,273404259.09,74749894000000000.00,272515383000000000.00,3284000000,3284000000,491.80,589.53,2,838000000,3682.00,4692986.00,27795019.00,N
67.50,0.00,29.66,NaN,100,99,1,99,0,0,47,47,FALSO,FALSO,99.00,1964687.20,0.00,1290867.54,0.00,0.00,3859995950000.00,0,194504023,0.00,2.50,9,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
96.61,96.27,34.33,34.43,113,76,37,21,55,1,418,91,FALSO,VERO,67.26,55635836.00,114279024.00,34527913.46,71085335.31,5053124600000000.00,8492146800000000.00,4228323718,4228323718,462.33,469.88,6,435000000,0.00,39379.00,178324.00,N
94.56,81.73,27.65,90.22,75,42,33,10,32,1,691,690,FALSO,FALSO,56.00,231299488.00,294381120.00,189568661.90,1191496256.98,1419663440000000000.00,1423642300000000000.00,9714578760,9714578760,5449.00,2519.59,2,6961399999,0.00,1864939.00,10724516.00,N
95.68,90.91,42.16,46.98,36,25,11,4,19,0,733,45,FALSO,FALSO,69.44,343989408.00,781794050.00,264083696.33,656259573.79,430676643000000000.00,622349560000000000.00,8599734736,8599734736,614.33,298.36,4,1770000000,1194.00,178904.00,562345.00,N
93.33,92.31,44.74,51.13,28,15,13,9,19,0,903,94,FALSO,FALSO,53.57,2409600000.00,2780307710.00,1900200260.74,2618522077.93,6856657900000000000.00,6994081400000000000.00,36144000000,36144000000,1951.87,1204.85,2,9000000000,5380.00,47326.00,77508.00,N
98.54,98.20,94.14,97.30,235,160,75,139,128,5,1867,1357,FALSO,VERO,68.09,683795650.00,1458763140.00,4049831607.25,5877145832.72,34540841000000000000.00,35141414000000000000.00,109407229320,109407290136,47156.22,24471.43,9,19800000000,232.00,864175.00,21002758.00,N
13.27,13.27,3.20,3.20,28,14,14,3,17,1,31,28,FALSO,FALSO,50.00,51785716.00,51785716.00,6438484.42,6438484.42,41454093000000.00,41454093000000.00,725000000,725000000,6.34,6.58,10,150000000,433.00,932.00,1432.00,N
96.68,87.50,20.61,66.07,46,38,8,10,11,0,1773,1772,FALSO,FALSO,82.61,395221024.00,1877299710.00,177409424.65,3045686747.46,9276208000000000000.00,11472765000000000000.00,15018397574,15018397574,52481.63,1389.58,1,11991397574,2544.00,20585334.00,102106315.00,N
99.34,98.25,62.00,75.47,485,424,61,148,65,0,462,425,FALSO,VERO,87.42,279646080.00,1943770500.00,401170981.02,4363929289.74,19043884000000000000.00,21813187000000000000.00,118569986476,118569986476,1628.76,1537.51,6,28706000000,2164.00,79972.00,524730.00,N
98.37,98.31,55.88,55.30,128,65,63,64,106,0,140,107,FALSO,VERO,50.78,4807603.50,4960226.00,6314492.48,6364615.96,40508324000000.00,40531615000000.00,312494252,312494252,56.12,42.76,2,61693319,0.00,67864.00,2044775.00,N
96.35,94.37,15.83,32.56,83,48,35,11,44,0,239,93,FALSO,FALSO,57.83,117493280.00,161133616.00,50603613.52,151592849.36,22980392200000000.00,24884870900000000.00,5639676608,5639676608,483.59,459.18,3,652729841,906.00,213046.00,4608528.00,N
95.11,66.67,30.27,26.17,34,31,3,31,5,0,33,32,FALSO,FALSO,91.18,33774192.00,349000000.00,17846495.41,183482969.24,33666000200000000.00,133033305000000000.00,1047000000,1047000000,171.83,188.67,3,436000000,2150.00,5646.00,7434.00,N
69.94,86.42,36.01,48.50,32,23,9,23,4,0,12,10,FALSO,FALSO,71.88,9521739.00,24333334.00,7733999.14,24463123.63,598444370000000.00,817827810000000.00,219000000,219000000,2.01,2.12,4,69000000,2867.00,38433.00,146594.00,N
94.62,93.83,57.86,44.85,332,314,18,62,35,0,130,130,FALSO,VERO,94.58,14780299.00,257601024.00,34659669.38,210442501.01,44286043000000000.00,103247964000000000.00,4636818618,4641015159,427.20,505.97,19,1494117541,0.00,30290.00,240195.00,N
93.55,77.78,57.10,42.65,33,27,6,27,6,0,92,91,FALSO,FALSO,81.82,32259260.00,145166672.00,36688469.96,114034229.75,13003804800000000.00,25751885200000000.00,870999999,870999999,74.54,7.76,10,295000000,0.00,2990139.00,5980279.00,N
73.96,0.00,37.59,NaN,36,35,1,35,0,0,21,21,FALSO,FALSO,97.22,2914285.80,0.00,2499959.12,0.00,0.00,8493061400000.00,0,102000000,0.00,13.15,3,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
89.28,83.33,45.90,31.02,31,25,6,25,7,0,29,18,FALSO,FALSO,80.65,33360000.00,139000000.00,30556020.68,78273026.43,6126667200000000.00,17286477800000000.00,834000000,834000000,146.04,111.82,6,202000000,4744.00,158936.00,609947.00,N
96.67,0.00,94.24,NaN,31,30,1,20,0,0,824,824,FALSO,FALSO,96.77,70356.16,0.00,358360.08,0.00,0.00,4949989900.00,0,2110685,0.00,0.23,4,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
89.06,88.87,16.20,13.85,63,32,31,27,31,0,66,20,FALSO,FALSO,50.79,86093736.00,88870960.00,31531095.14,28800472.59,829467440000000.00,837180460000000.00,2755000000,2755000000,25.22,25.04,4,101000000,4713.00,22533.00,65398.00,N
92.06,80.00,17.96,28.06,26,21,5,21,6,0,3,2,FALSO,FALSO,80.77,33666668.00,141400000.00,11373877.06,73005753.20,5329840200000000.00,16936308000000000.00,707000000,707000000,56.80,51.12,14,66000000,187.00,7734.00,13831.00,N
95.02,87.50,23.02,30.43,43,35,8,34,9,0,45,42,FALSO,FALSO,81.40,150371424.00,657875010.00,66832877.16,440395948.64,193948594000000000.00,451508471000000000.00,5263000000,5263000000,1061.27,569.94,2,2387000000,7578.00,51821.00,99821.00,N
74.10,87.57,64.91,55.64,36,23,13,23,18,0,2248,1440,FALSO,FALSO,63.89,30210148.00,53448724.00,48713379.38,58562199.15,3429531120000000.00,3969563130000000.00,694833456,694833458,1751.77,308.64,2,200000000,160644.00,2635762.00,9443685.00,N
98.09,75.00,33.10,53.43,73,69,4,66,6,0,55,54,FALSO,FALSO,94.52,26196350.00,451886880.00,15256393.93,450678405.50,203111031000000000.00,384323466000000000.00,1807547488,1807547488,302.76,88.54,9,1797541891,12564.00,12564.00,12564.00,N
60.65,91.67,80.76,69.32,38,26,12,23,24,0,1017,93,FALSO,FALSO,68.42,13595312.00,29456510.00,38454991.83,53520915.20,2864488440000000.00,3116066420000000.00,353478087,353478087,193.49,128.20,3,57000000,17894.00,412773.00,1595320.00,N
89.50,88.00,21.89,27.12,30,20,10,20,15,0,108,54,FALSO,FALSO,66.67,86750000.00,173500000.00,37642894.42,84349570.24,7114850600000000.00,14640412900000000.00,1735000000,1735000000,259.38,232.07,2,619000000,5484.00,123281.00,612147.00,N
96.71,80.00,15.45,69.57,83,78,5,78,8,0,244,243,FALSO,FALSO,93.98,232923136.00,3633599740.00,66250838.26,5737129825.67,32914660000000000000.00,44479260000000000000.00,18168000000,18168000000,1159.80,2252.94,2,15621000000,53082.00,2765064.00,10334134.00,N
98.11,80.00,56.11,43.49,58,53,5,53,6,0,156,154,FALSO,FALSO,91.38,6114660.00,55505236.00,8076236.37,45968879.70,2113137870000000.00,4552567100000000.00,277526174,324077007,47.96,63.83,4,120874301,29294.00,97532.00,261016.00,N
95.95,66.67,44.98,66.36,136,133,3,32,4,0,2239,2238,FALSO,VERO,97.79,29323302.00,1300000000.00,31520740.64,1827874676.88,3341125840000000000.00,4955745200000000000.00,3900000000,3900000000,110241.30,267.35,12,3897000000,187125592.00,187125592.00,187125592.00,N
98.15,0.00,25.24,0.00,55,54,1,51,1,0,364,364,FALSO,FALSO,98.18,42076892.00,1408354.00,20765995.56,0.00,0.00,1653929760000000.00,1408354,2272152372,0.00,210.30,7,1408354,1245583.00,1245583.00,1245583.00,N
96.99,83.33,7.94,47.29,144,138,6,9,6,0,52,51,FALSO,VERO,95.83,120384032.00,2768833540.00,18831565.57,2531375927.93,6407864200000000000.00,13422147000000000000.00,16613000000,16613000000,2455.98,2097.69,7,16513000000,209581.00,209581.00,209581.00,N
96.32,94.65,43.31,83.42,96,67,29,40,38,4,733,720,FALSO,FALSO,69.79,122592496.00,283231008.00,100483647.55,690622805.04,476959795000000000.00,502764577000000000.00,8213699430,8213699430,312.05,131.37,7,3393000000,0.00,2103667.00,31809055.00,N
99.68,95.65,60.00,65.34,337,314,23,310,38,0,725,561,FALSO,VERO,93.18,65932008.00,900115140.00,143432006.27,1450431814.92,2103752770000000000.00,2799613890000000000.00,20702647182,20702647182,2614.51,1500.42,6,6479658489,2963.00,352120.00,2892743.00,N
88.88,90.86,95.22,89.01,69,50,19,42,20,3,248,140,FALSO,FALSO,72.46,372059968.00,979105150.00,2230861846.08,3536255475.33,12505105000000000000.00,12873607000000000000.00,18603000000,18603000000,15.07,14.42,8,15945000000,171.00,687219.00,5657605.00,N
89.03,97.65,66.41,72.43,578,523,55,479,101,0,1565,1448,FALSO,VERO,90.48,98935976.00,940791040.00,524853245.24,1614639221.88,2607059720000000000.00,3315780450000000000.00,51743502443,51743502443,79679.02,47269.38,3,6037715760,308.00,1161605.00,37748126.00,N
95.72,94.24,90.17,83.27,1161,845,316,722,392,24,2282,2186,VERO,VERO,72.78,322636352.00,862741950.00,1737022283.32,2793977564.02,7806307700000000000.00,8098029000000000000.00,272626508240,272626508240,17404.68,16935.10,164,24904643188,0.00,673561.00,113392117.00,N
92.97,90.28,76.69,71.01,28,16,12,16,16,0,503,190,FALSO,FALSO,57.14,32360724500.00,43147633000.00,59577783548.55,67192516666.86,4514834000000000000000.00,4631191400000000000000.00,517771590480,517771590480,60158.68,55663.96,3,160000000000,3853.00,470073.00,2074603.00,N
94.38,94.38,42.19,42.19,52,26,26,26,33,0,106,34,FALSO,FALSO,50.00,462815744.00,462815776.00,359108569.38,359108578.41,128958970000000000.00,128958970000000000.00,12033210000,12033210000,1687.39,1583.22,3,1484210000,879.00,94989.00,1665429.00,N
90.59,91.02,86.98,80.77,104,72,32,72,40,7,117,116,FALSO,VERO,69.23,452305504.00,1017687490.00,1308063530.23,3321848872.69,11034680000000000000.00,11354338000000000000.00,32566000000,32566000000,319.00,288.68,41,1412000000,0.00,180535.00,1733566.00,N
97.07,87.50,46.77,51.76,44,36,8,36,16,0,2132,1413,FALSO,FALSO,81.82,16671717.00,75022736.00,15984002.26,76405308.65,5837771600000000.00,9242612900000000.00,600181862,600181864,2012.08,99.74,7,251151223,21722074.00,21722074.00,21722074.00,N
95.31,93.43,54.33,61.70,112,95,17,95,28,0,732,336,FALSO,VERO,84.82,55547340.00,310411776.00,61769991.10,394639373.69,155740239000000000.00,220696070000000000.00,5277000000,5277000000,267.29,231.21,2,1233000000,179794.00,1771934.00,4657424.00,N
72.50,75.31,70.14,69.10,38,20,18,20,30,6,949,948,FALSO,FALSO,52.63,126499992.00,140555552.00,278500902.08,290564060.38,84427469000000000.00,84625038000000000.00,2530000000,2530000000,1871.20,65.99,9,1000000000,0.00,6815266.00,81559215.00,N
98.63,66.67,32.76,15.23,78,75,3,68,3,0,81,80,FALSO,FALSO,96.15,14427947.00,360698720.00,8958859.84,100951233.83,10191151000000000.00,130094602000000000.00,1082096143,1082096143,133.46,132.68,9,424600872,15538.00,1526166.00,4507656.00,N
75.00,90.91,21.50,30.68,15,4,11,3,19,0,1156,1152,FALSO,FALSO,26.67,393912128.00,474549120.00,157376231.89,271252957.32,73578167000000000.00,80080490000000000.00,5220040416,1575648504,339.42,88.41,1,1116495709,7810.00,16515.00,23836.00,N
95.01,93.83,77.75,63.66,56,38,18,38,23,0,497,356,FALSO,FALSO,67.86,190394736.00,401944416.00,383072445.08,511623601.04,261758723000000000.00,306511990000000000.00,7235000000,7235000000,374.14,407.89,3,2101000000,534.00,111918.00,645753.00,N
96.15,93.75,44.31,42.33,42,26,16,26,28,0,59,30,FALSO,FALSO,61.90,243831472.00,396226208.00,217066401.14,316382624.54,100097958000000000.00,123322100000000000.00,6339618418,6339618418,874.33,863.62,2,803000000,443.00,77580.00,761602.00,N
