GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,paying,paid,numberAddressesPaidAfterTheyPaid,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendBTC,totalIncomeBTC,totalSendUSD,totalIncomeUSD,maxNumTransRec,maxDiffDay,minResponsiveness,avgResponsiveness,maxResponsiveness,type
93.25,94.81,76.89,70.01,138,83,55,83,2,0,390,231,FALSO,VERO,60.14,11655447.00,17581628.00,35024695.67,41901911.43,1755770150000000.00,1790889560000000.00,966989655,967402130,21856.90,21775.64,12,11000000,699.00,149084.00,7056828.00,P
90.55,98.32,58.78,52.73,339,155,184,152,111,26,526,522,FALSO,VERO,45.72,299523.34,252228.66,468034.56,296780.98,88078959000.00,90315670000.00,46410071,46426110,373.14,365.85,12,2524860,0.00,57400.00,402768.00,P
27.22,41.67,35.79,39.30,25,13,12,13,17,0,121,10,FALSO,FALSO,52.00,229689.77,248830.58,294052.11,304400.02,92659376000.00,93025739000.00,2985967,2985967,38.44,35.78,1,300000,0.00,58215.00,341833.00,P
97.60,98.70,83.18,59.47,214,54,160,37,169,28,509,480,FALSO,VERO,25.23,125417616.00,42328456.00,288567223.20,49894736.26,2489484110000000.00,9393294300000000.00,6772551323,6772551323,16699.15,16220.55,3,174935228,0.00,397425.00,15611535.00,P
99.80,98.15,70.92,74.68,2867,1096,1771,5,671,3,214,153,VERO,VERO,38.23,18095848.00,11198792.00,49780809.25,30781434.30,947496030000000.00,995066280000000.00,19833020562,19833030562,138472.45,139726.20,766,823066359,0.00,84792.00,12193561.00,P
88.45,94.17,64.57,70.28,77,48,29,31,21,4,1240,1239,FALSO,FALSO,62.34,1552912.40,2570338.00,2825279.36,4937739.80,24381275200000.00,25416425300000.00,74539796,74539796,687.57,506.13,40,18100000,468.00,21386384.00,85513951.00,P
83.33,85.80,61.03,59.62,24,6,18,6,20,4,72,71,FALSO,FALSO,25.00,12892307.00,4297435.50,15753030.38,6045169.51,36544073000000.00,110415892000000.00,77353836,77353836,184.83,202.03,3,26483836,4028.00,108711.00,461382.00,P
91.99,94.92,60.68,53.07,204,172,32,170,62,1,186,186,FALSO,VERO,84.31,562246.75,3016212.80,994532.82,3357429.55,11272333600000.00,17294284600000.00,96518812,96706459,1056.56,1067.63,22,7408522,0.00,110427.00,1010544.00,P
95.79,90.28,75.62,72.69,3087,3075,12,2984,9,0,222,222,VERO,VERO,99.61,370898.50,39079520.00,1195423.32,68450067.30,4685411500000000.00,6183769400000000.00,468954283,1140517361,12533.12,16372.19,74,242991952,0.00,20421.00,92606.00,P
96.73,98.74,80.05,56.91,3544,3461,83,3346,6,0,463,423,VERO,VERO,97.66,332753.30,13847501.00,1956050.29,16083508.97,258679236000000.00,441327754000000.00,1149342627,1151663176,9678.26,9235.31,123,104616045,0.00,28589.00,409879.00,P
0.00,88.89,0.00,36.32,10,1,9,0,18,0,467,467,FALSO,FALSO,10.00,122418424.00,2100750080.00,0.00,1550549791.91,2404204490000000000.00,6318001600000000000.00,18906751132,122418422,2983.49,10.77,1,5887000000,410850.00,410850.00,410850.00,N
0.00,0.10,0.00,99.95,2014,1,2013,1,1,0,1,0,FALSO,VERO,0.05,1000000.00,496.77,0.00,22282.82,496524256.00,999523810000.00,1000000,1000000,0.00,0.00,1,0,798.00,798.00,798.00,N
95.62,93.75,16.74,23.50,59,43,16,5,17,0,23,7,FALSO,FALSO,72.88,118651168.00,318875008.00,50775787.91,141711359.37,20082107400000000.00,60171693000000000.00,5102000000,5102000000,901.58,844.71,4,326000000,1975.00,22513.00,57523.00,N
85.71,83.33,29.75,32.22,26,14,12,14,21,0,1,0,FALSO,FALSO,53.85,89714288.00,104666664.00,48796118.95,63557499.53,4039555520000000.00,4263128970000000.00,1256000000,1256000000,47.90,48.56,14,0,0.00,1412.00,2824.00,N
95.73,50.00,26.92,48.52,33,31,2,31,4,0,1656,1655,FALSO,FALSO,93.94,28387096.00,440000000.00,13599519.49,427000000.00,182329007000000000.00,351754179000000000.00,880000000,880000000,3994.32,159.48,3,867000000,20402718.00,20402718.00,20402718.00,N
92.56,87.50,91.50,100.00,61,53,8,49,9,2,781,779,FALSO,FALSO,86.89,166799.90,1103795.60,721381.52,2760212.39,7618772300000.00,8496733000000.00,8830365,8840395,1.76,0.86,14,5150713,0.00,6316.00,12507.00,N
98.08,97.73,65.44,62.39,100,54,46,50,60,0,256,167,FALSO,FALSO,54.00,18868896.00,22150442.00,34861413.87,36960245.99,1366059850000000.00,1376828270000000.00,1018920302,1018920302,100.83,104.32,6,73919302,1966.00,576396.00,10616821.00,N
99.35,99.06,40.72,63.03,537,421,116,191,152,0,2399,2399,FALSO,VERO,78.40,84410576.00,302831264.00,64632876.95,839563195.10,704866600000000000.00,752574200000000000.00,35128421656,35536824323,67675.13,2270.74,13,7521856747,0.00,194431.00,4997626.00,N
95.33,85.71,50.34,54.68,37,30,7,30,11,0,40,39,FALSO,FALSO,81.08,433700000.00,1858714370.00,455876534.66,2181570273.14,4759248700000000000.00,6789914800000000000.00,13011000000,13011000000,2297.65,880.36,12,7097000000,1967507.00,1967507.00,1967507.00,N
97.87,66.67,13.66,57.27,50,47,3,46,6,0,145,144,FALSO,FALSO,94.00,16062332.00,251643216.00,4046922.41,284569800.30,80979968000000000.00,136478324000000000.00,754929605,754929605,45.26,62.44,8,649683233,320431.00,320431.00,320431.00,N
97.61,97.53,54.32,55.81,151,79,72,46,70,0,60,38,FALSO,VERO,52.32,113371152.00,124393360.00,313475057.24,333560470.29,111262580000000000.00,111384093000000000.00,8956322251,8956322251,861.95,779.39,7,2722577899,523.00,18455.00,158427.00,N
81.57,0.00,1.96,NaN,59,58,1,42,0,0,631,631,FALSO,FALSO,98.31,102677512.00,0.00,5903260.16,0.00,0.00,10542671500000000.00,0,5955296208,0.00,110.75,2,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
99.33,66.67,33.09,0.45,155,152,3,137,6,0,1569,1569,FALSO,VERO,98.06,7472179.50,202364480.00,4366209.42,1908895.35,3643881550000.00,37986658000000000.00,607093454,1135771385,77.07,130.28,7,201009358,7552.00,40876.00,106229.00,N
80.21,50.00,77.75,11.13,41,39,2,24,3,0,1099,1040,FALSO,FALSO,95.12,10088236.00,184184240.00,25201107.63,40994880.00,1680580170000000.00,31989996600000000.00,368368487,393441228,410.53,287.38,4,225179123,3069.00,19443572.00,38884075.00,N
81.95,95.14,14.22,38.85,86,62,24,59,45,0,895,855,FALSO,FALSO,72.09,303016064.00,782791680.00,103351965.50,628637403.92,395184992000000000.00,625369570000000000.00,18787000000,18787000000,10733.16,1950.68,2,3157000000,3633.00,1222186.00,14265179.00,N
95.52,89.26,70.47,75.16,58,47,11,21,17,2,2363,1572,FALSO,FALSO,81.03,16480508.00,57325800.00,26528285.53,112096642.72,12565658000000000.00,14233995100000000.00,630583771,774583772,1379.58,4253.51,2,400889046,0.00,7394524.00,35202683.00,N
95.68,90.91,53.95,54.37,36,25,11,25,21,0,60,42,FALSO,FALSO,69.44,226000000.00,513636352.00,304998360.65,646906944.65,418488591000000000.00,501223405000000000.00,5650000000,5650000000,841.90,876.64,3,2448000000,1056.00,161322.00,1411240.00,N
89.34,94.12,62.69,71.03,76,59,17,45,28,0,1788,1550,FALSO,FALSO,77.63,97417760.00,338097056.00,205096057.67,513096408.43,263267958000000000.00,321194422000000000.00,5747650516,5747650516,4313.37,1438.27,2,1764869676,8216.00,2059389.00,23032764.00,N
94.90,66.67,7.83,30.92,26,23,3,23,6,0,622,621,FALSO,FALSO,88.46,569826110.00,4368666600.00,93944318.46,2562935977.18,6568640800000000000.00,20999830000000000000.00,13106000000,13106000000,1383.93,364.68,2,6954000000,1627534.00,1627534.00,1627534.00,N
98.44,66.67,33.56,56.51,67,64,3,58,5,0,73,72,FALSO,FALSO,95.52,7429856.00,158503600.00,4623597.77,186429397.09,34755921200000000.00,57579195000000000.00,475510782,475510782,64.80,59.53,7,411926247,20677.00,331986.00,643295.00,N
92.50,90.28,70.27,69.14,32,20,12,15,17,0,1471,1470,FALSO,FALSO,62.50,2303949820.00,3839916800.00,3813638334.40,6643960189.36,44142208000000000000.00,46501395000000000000.00,46079000000,46079000000,261409.30,3291.11,12,25273000000,1740752.00,1740752.00,1740752.00,N
80.14,75.00,47.25,28.14,62,58,4,16,7,0,25,24,FALSO,FALSO,93.55,3568965.50,51750000.00,3658302.07,27842189.21,775187510000000.00,3096599480000000.00,207000000,207000000,36.43,28.99,12,97000000,0.00,13025.00,36585.00,N
94.94,97.28,22.92,51.11,81,39,42,37,52,0,97,85,FALSO,FALSO,48.15,100600736.00,247476000.00,44914794.90,389932819.67,152047580000000000.00,173619947000000000.00,10393993043,3923428958,1299.16,603.35,2,2586792548,0.00,43471.00,225366.00,N
88.20,90.28,10.31,49.92,63,51,12,37,18,0,2221,2221,FALSO,FALSO,80.95,98882440.00,384583328.00,25067870.74,353981990.17,125303240000000000.00,206928243000000000.00,4615000000,5043005000,226.84,56.42,3,1008000000,16951.00,2392394.00,12586291.00,N
94.05,84.38,49.68,25.48,578,570,8,382,15,0,1925,1925,FALSO,VERO,98.62,11887709.00,116000000.00,20120113.41,55859197.99,3120249990000000.00,13959618700000000.00,928000000,6776000000,4165.07,84.28,20,400000000,1628808.00,1628808.00,1628808.00,N
95.68,95.68,54.72,54.72,50,25,25,15,27,0,62,49,FALSO,FALSO,50.00,160670944.00,160670944.00,240669402.25,240669402.25,57921779000000000.00,57921779000000000.00,4016773281,4016773281,250.38,216.62,3,1253000000,1113.00,56786.00,481320.00,N
39.59,81.76,60.21,68.19,270,192,78,148,95,3,1547,1499,FALSO,VERO,71.11,213642576.00,525889696.00,561747251.61,864695005.65,747697390000000000.00,845195410000000000.00,41019403127,41019403127,11306.96,3746.90,6,6998380000,0.00,328115.00,9407076.00,N
92.58,81.63,41.04,61.59,39,32,7,4,9,0,85,56,FALSO,FALSO,82.05,95968736.00,438714304.00,76127148.73,603175772.29,363821010000000000.00,481295513000000000.00,3071000000,3071000000,471.60,405.85,4,1671000000,5411.00,219196.00,804693.00,N
97.84,98.03,39.73,36.36,298,217,81,142,152,0,152,105,FALSO,VERO,72.82,73267264.00,196234528.00,59345062.09,155834376.89,24284355000000000.00,39405311000000000.00,15895000000,15899000000,1817.10,1861.18,10,912000000,177.00,14036.00,150151.00,N
94.17,66.67,8.45,31.49,32,29,3,29,4,0,603,598,FALSO,FALSO,90.63,913275840.00,8828333100.00,182198053.77,5163502031.21,26661752000000000000.00,89309890000000000000.00,26485000000,26485000000,2142.55,2786.94,2,13687000000,238943.00,12509094.00,36577376.00,N
93.21,66.67,4.85,37.46,52,49,3,45,5,0,114,114,FALSO,FALSO,94.23,109673480.00,1756666500.00,11694037.82,1228327426.08,1508788200000000000.00,4221374780000000000.00,5270000000,5374000000,1234.04,47.84,4,3083000000,22280.00,2203325.00,6537994.00,N
88.21,0.00,48.25,0.00,43,42,1,42,1,0,48,48,FALSO,FALSO,97.67,8238095.00,335000000.00,10288249.02,0.00,0.00,106773351000000000.00,335000000,346000000,0.00,41.49,3,335000000,1169221.00,1169221.00,1169221.00,N
49.71,81.00,37.86,50.03,67,47,20,43,26,2,864,863,FALSO,FALSO,70.15,26367842.00,61964416.00,30885534.40,67614625.23,4571737700000000.00,5838853400000000.00,1239288299,1239288299,379.93,91.26,3,280000000,0.00,3549726.00,27114707.00,N
92.29,91.98,16.51,13.54,78,42,36,35,45,0,140,124,FALSO,FALSO,53.85,92452376.00,107861104.00,35013060.41,41734712.95,1741785870000000.00,1979215690000000.00,3883000000,3883000000,455.42,444.00,2,201000000,0.00,9904.00,121945.00,N
64.59,0.00,17.81,NaN,82,81,1,74,0,0,907,907,FALSO,FALSO,98.78,28456764.00,0.00,13543755.69,0.00,0.00,809787430000000.00,0,2305000000,0.00,229.69,2,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
74.56,0.00,50.51,NaN,40,39,1,33,0,0,805,805,FALSO,FALSO,97.50,80615.38,0.00,152631.05,0.00,0.00,6498840100.00,0,3144000,0.00,0.13,2,0,9223372036854780000.00,0.00,-9223372036854780000.00,N
50.00,83.33,24.18,46.11,8,2,6,1,8,1,351,18,FALSO,FALSO,25.00,1936501.00,70218856.00,936501.00,57697267.19,3328974660000000.00,7991454500000000.00,421313124,3873002,21.55,0.21,1,160730795,91006.00,126458.00,161910.00,N
89.13,95.83,44.29,31.47,243,219,24,183,42,0,359,357,FALSO,VERO,90.12,85077592.00,764166720.00,104000386.32,483899676.70,234158885000000000.00,695320910000000000.00,18340000000,18632000000,1996.96,1644.79,2,2455000000,3218.00,65513.00,188581.00,N
93.94,90.91,5.22,37.74,45,34,11,34,13,0,786,785,FALSO,FALSO,75.56,112941200.00,349090944.00,10767437.78,242757812.17,58931362000000000.00,114698038000000000.00,3840000000,3840000000,4603.30,222.04,3,2241000000,2814511.00,2814511.00,2814511.00,N
0.00,90.00,0.00,45.91,11,1,10,0,14,0,27,27,FALSO,FALSO,9.09,112054480.00,352358560.00,0.00,311301520.89,96908636000000000.00,154654711000000000.00,3523585754,112054480,410.72,7.83,1,1076000000,56930.00,56930.00,56930.00,N
96.29,90.91,44.30,39.16,43,32,11,32,18,0,938,938,FALSO,FALSO,74.42,150968752.00,272363616.00,120642673.60,190760331.65,36389501000000000.00,51126221000000000.00,2996000000,4831000000,9448.35,479.19,2,553000000,46985.00,9668968.00,58445176.00,N
99.25,98.21,36.71,53.30,190,134,56,134,78,0,343,194,FALSO,VERO,70.53,13443348.00,32167998.00,12213227.99,40759615.98,1661346230000000.00,2011958510000000.00,1801407977,1801407977,159.50,171.02,4,206967633,274.00,80181.00,505613.00,N
91.91,92.36,56.50,56.56,51,27,24,25,21,1,84,83,FALSO,FALSO,52.94,4419036700.00,4971417100.00,6290201116.23,6766525168.54,45785860000000000000.00,46090986000000000000.00,119314000000,119314000000,1687.87,1152.28,5,33000000000,1600.00,15056.00,35274.00,N
96.35,87.50,65.79,47.52,56,48,8,21,7,0,720,656,FALSO,FALSO,85.71,19675110.00,118050656.00,29337536.55,108436737.51,11758525200000000.00,21436274100000000.00,944405241,944405241,85.23,23.44,2,289000000,0.00,1639442.00,9310957.00,N
94.44,92.86,41.81,39.34,32,18,14,1,20,0,254,157,FALSO,FALSO,56.25,710888770.00,913999870.00,534026428.60,652944970.70,426337180000000000.00,467591303000000000.00,12796000000,12796000000,1539.34,1223.58,2,2501000000,2264.00,771062.00,8279580.00,N
44.35,66.67,35.11,11.81,48,45,3,42,1,0,94,93,FALSO,FALSO,93.75,1755555.50,26333334.00,1565681.33,5792715.73,33555556100000.00,637622660000000.00,79000000,79000000,13.39,0.63,8,79000000,7456228.00,7456228.00,7456228.00,N
96.85,96.00,28.09,32.78,71,41,30,41,34,0,152,14,FALSO,FALSO,57.75,112926832.00,154333360.00,64140238.98,105668767.71,11165887400000000.00,12880387900000000.00,4630000000,4630000000,485.98,491.34,5,202000000,939.00,25269.00,159275.00,N
94.41,94.41,39.82,39.82,58,29,29,27,28,1,78,60,FALSO,FALSO,50.00,65034764.00,65034764.00,46400029.87,46400029.87,2152962680000000.00,2152962680000000.00,1886008154,1886008154,88.00,68.16,3,309000000,3387.00,74936.00,349677.00,N
82.36,75.00,61.28,44.55,61,57,4,50,6,0,689,682,FALSO,FALSO,93.44,200394480.00,2855622400.00,571002356.80,2352875624.32,5536023500000000000.00,12586259000000000000.00,11422489005,11422489005,9026.68,1606.41,3,5672894203,7166.00,14729099.00,43780839.00,N
45.58,0.00,20.93,0.00,38,37,1,37,2,0,1260,1260,FALSO,FALSO,97.37,1299946.00,7000000.00,603700.39,0.00,0.00,32490616000000.00,7000000,48098000,0.00,9.10,2,7000000,81319.00,81319.00,81319.00,N
93.00,50.00,85.87,32.68,168,166,2,106,4,0,2141,2140,FALSO,VERO,98.81,734263.90,60889328.00,2226566.11,39802326.00,1584225130000000.00,5202856800000000.00,121778664,121887829,500.17,39.38,12,100691659,5620526.00,31243167.00,56865809.00,N
96.29,91.67,52.60,74.34,44,32,12,7,23,0,1560,1560,FALSO,FALSO,72.73,15989394.00,40778692.00,17993242.53,89215507.49,7959407100000000.00,8573916499999999.00,489344287,511660605,948.24,82.03,3,332000000,1694199.00,4229534.00,7484590.00,N
93.25,91.84,63.38,65.68,54,40,14,38,25,0,342,275,FALSO,FALSO,74.07,82999992.00,237142864.00,107292822.01,350584590.11,122909552000000000.00,146669577000000000.00,3320000000,3320000000,300.17,114.39,3,1283000000,1387.00,340490.00,1428669.00,N
94.19,85.71,20.85,48.32,88,81,7,15,13,0,550,470,FALSO,FALSO,92.05,68429592.00,791828290.00,37332374.90,731422452.57,534978824000000000.00,1058284480000000000.00,5542797777,5542797777,572.43,354.26,4,2228000000,32529.00,2835130.00,15799342.00,N
95.45,85.71,48.40,75.43,29,22,7,22,10,0,651,637,FALSO,FALSO,75.86,402199040.00,1264054140.00,403571943.58,2484206101.05,6171280000000000000.00,6914073800000000000.00,8848378845,8848378845,3550.08,814.00,1,6233357989,3004.00,5700585.00,34074229.00,N
91.46,88.84,93.60,34.74,259,237,22,111,15,3,1348,712,FALSO,VERO,91.51,341454.72,3678402.50,1266359.01,2351260.73,5528427200000.00,16663647900000.00,80924864,80924864,86.23,46.89,14,6000000,0.00,1098601.00,18375772.00,N
97.24,97.24,46.15,46.15,86,43,43,43,42,0,51,50,FALSO,FALSO,50.00,151139536.00,151139536.00,126997086.98,126997086.98,16128258300000000.00,16128258300000000.00,6499000000,6499000000,278.36,235.46,7,350000000,565.00,31063.00,143504.00,N
95.04,94.12,37.08,28.56,39,22,17,22,17,0,23,4,FALSO,FALSO,56.41,274545408.00,355294112.00,186430763.96,178333054.15,31802675900000000.00,38323031000000000.00,6040000000,6040000000,391.29,370.40,3,513000000,344.00,12578.00,69132.00,N
97.95,91.67,34.69,81.88,76,64,12,64,23,0,1237,1236,FALSO,FALSO,84.21,135279872.00,721492740.00,82978239.60,1953159071.10,3814830360000000000.00,4158475300000000000.00,8657913116,8657913116,36834.26,312.28,10,7185896892,4475.00,1024651.00,4319657.00,N
41.87,80.00,21.63,55.12,45,40,5,14,9,0,932,932,FALSO,FALSO,88.89,2300000.00,16400000.00,1382027.50,19231224.61,369839969000000.00,568649980000000.00,82000000,92000000,526.13,14.59,3,54000000,19730.00,30191623.00,60363517.00,N
98.54,98.84,56.41,64.51,499,373,126,226,103,1,1076,747,FALSO,VERO,74.75,342021088.00,1012483330.00,908345182.69,2880461708.65,8297060400000000000.00,8746580400000000000.00,127572887754,127573887836,13215.98,9743.96,30,28351438803,0.00,117108.00,7091750.00,N
57.22,80.00,11.26,49.73,85,80,5,28,5,0,347,346,FALSO,FALSO,94.12,9562500.00,153000000.00,2453791.71,162521383.21,26413200600000000.00,46987518000000000.00,765000000,765000000,37.96,24.82,2,646000000,38652.00,10280229.00,20521807.00,N
94.63,99.47,7.62,53.10,215,22,193,3,313,0,1029,1029,FALSO,VERO,10.23,306189504.00,1072657920.00,69603240.30,1344132957.75,1806693040000000000.00,2394166500000000000.00,207022966882,6736169586,19953.95,1201.38,3,10000000000,2982.00,38515.00,132140.00,N
92.51,93.48,13.51,17.99,179,94,85,47,84,0,1282,62,FALSO,VERO,52.51,105683280.00,116873264.00,42025657.28,62866843.75,3952239910000000.00,4077455660000000.00,9934225408,9934226408,238.98,204.77,3,927000000,0.00,26078.00,95337.00,N
95.49,72.00,41.85,50.34,29,24,5,23,5,0,736,307,FALSO,FALSO,82.76,450207776.00,2160997630.00,340916940.74,2064638405.24,4262731810000000000.00,7189533900000000000.00,10804988013,10804988013,1864.97,208.50,3,5802000000,171174.00,5375195.00,13300067.00,N
27.51,74.07,81.07,74.65,35,26,9,21,10,0,76,10,FALSO,FALSO,74.29,12961538.00,37444444.00,31653753.32,65103525.18,4238468880000000.00,4837882300000000.00,337000000,337000000,3.70,3.18,15,201000000,0.00,134351.00,295147.00,N
89.85,89.26,29.25,46.06,146,135,11,23,21,0,37,36,FALSO,VERO,92.47,15459262.00,189727280.00,12642528.24,168451277.38,28375833200000000.00,58745175000000000.00,2087000000,2087000000,303.68,290.52,10,464000000,0.00,66518.00,461130.00,N
98.70,96.55,47.54,60.08,110,81,29,81,55,0,891,884,FALSO,VERO,73.64,174787296.00,488199072.00,166875262.59,685339089.89,469689789000000000.00,567916688000000000.00,14157770258,14157770258,3830.50,1757.57,5,2848000000,2981.00,119121.00,1050958.00,N
90.63,89.78,81.05,79.78,31,16,15,16,24,0,724,262,FALSO,FALSO,51.61,44693124.00,47672664.00,102459717.62,105146643.93,11055816000000000.00,11064692600000000.00,715090000,715090000,35.07,22.75,3,420000000,1392.00,369505.00,1687380.00,N
90.90,94.10,70.09,64.16,65,41,24,12,26,1,745,745,FALSO,FALSO,63.08,14451607.00,24687746.00,25876114.44,40530318.95,1642706880000000.00,1747485690000000.00,592505844,592515852,133.18,33.56,19,362604300,0.00,1681836.00,15619589.00,N
92.44,92.44,46.92,46.92,30,15,15,3,13,0,83,82,FALSO,FALSO,50.00,2111133310.00,2111133180.00,1947219460.04,1947219421.98,3791663920000000000.00,3791663920000000000.00,31667000000,31667000000,1687.58,307.98,5,7607000000,758.00,42302.00,128104.00,N
97.27,95.56,69.75,40.25,84,58,26,58,39,0,2196,2173,FALSO,FALSO,69.05,422678304.00,942897860.00,616337364.50,671344311.38,450703217000000000.00,721331580000000000.00,24515345000,24515345000,93812.16,2028.78,7,3602000000,1336.00,437251.00,1921600.00,N
