address,GiniIncomeValue,GiniSendValue,GiniIncomeClass,GiniSendClass
1MgD6rah5zUgEGYZnNmdpnXMaDR3itKYzU,90,86,93,96,
182S1EhM6256FCUPi9UVtCfeeTy2kJyoeo,49,57,91,92,
1CX8b4KNtWAfmkXyDipzPHnpTmxRDoBWrQ,36,39,86,87,
15FJXmigvEzfD7S9cR4PiZHC9jrrC31Jbe,46,51,91,88,
1NHKSD59iAGX5ZAGGMKuLrBySQDfN1gQC7,60,58,91,91,
1Nq17F6JJQpLVUtciKD7rios8jtL3bmcpU,70,70,85,85,
1N1YVXwbRY5VHYCBwUeXzkiy1KqeJnZegn,75,57,90,81,
1M9fzriM7DgxDfGEhKqD2takTkXziqPkYF,84,36,93,66,
13gcRRF6gd9DhCj48mWKjV2zTUF3vJvhqV,87,83,95,95,
1KfFxiCM5XBshMoThyjaihdRcRAhK45N11,58,63,54,75,
1CMgkhVxRMSRCPTQTjgadcC5TgkoLxGiT9,38,43,89,89,
1K1MjKdRsj4T3Tdr7DXdPJCYuUPw8US72f,88,84,97,97,
1QCFk2Ez21p4NByNiBv3a7h6Wwq9EXJAre,0,45,0,53,
1MfRUT4aWmHFk8sNVHZqP7DXtmbJpywy5x,26,27,49,51,
1MrWnhMAx6Z7FNYS2yJbb5MRk4UcecgLb8,93,92,94,93,
1PcpTYxwRMPH1AtSdqZzkh5xXqp6rVbb8m,59,58,96,95,
1LqhP5yY8D7tdHPYw8ufkSrBbzNCRRdUfZ,73,0,0,0,
1Bp9SD32njCi5iGt1zow1r3xGRdpns7mNy,79,80,60,79,
1JSpqQzmj59gt5JkXUEvXguGUk2JyYFuy6,69,47,85,92,
1Jn1sEPFhu7ZA4DywybwBHRBh2yaUaMzkZ,21,45,43,84,
1E7omVoKbNPmDfFxPfZkAotQ65dFRsNX9y,40,46,72,81,
1CtxYVnfyUb4D8gYUErEDvatBcwn9fph6h,83,83,96,96,
18eBux3spPh3iD2RFQvXXiBrNBRymroGdY,61,61,89,89,
13uraL1Maba7obbhkdB4pjsqMyvqrcTeeD,52,46,87,77,
1LtEvimnTAJKTuuLbKxHbgTSowG6DPUb1R,8,70,31,68,
13fjLwsAJC7KsH3wPhA3vbLLcSBfBMb6r5,74,76,81,83,
