address,GiniIncomeValue,GiniSendValue,GiniIncomeClass,GiniSendClass
1NhzSDXbaiNV85sRDAUnaS5npqiZpJMHog,40,40,50,50
1xhZiJ2RLhEaETbFirLzGxGNDuWk8m5yV,60,60,69,69
1nHBbVFepCvvuVcVp9NVpRJgSH4ycjNxP,12,45,30,93
12EmQ7U42KeYy4MbWHPb4qTkfA7Tg3T5R8,82,82,85,85
1FuhUb2dbfu6kmkRtgPUNv3rL2LXTw1qpW,40,40,59,59
1M3QE6vJTCtkjabPfowkQh7Dftb17YS53B,49,0,50,0
1PMzSG94fo6fhc49sqWWwoJeMjEtK2JwY2,81,81,81,81
1NYXg2arfsEG2vbnZsPrcD5n2DWN6CPBFe,81,81,72,72
17xA1kFe4yhBtebsNarVcKUVzUYS8fMpXq,78,78,83,83
1Bis4UqPRiff52id7tkJRcHJCEJJv8uuvr,76,76,87,87
19xsuasJF4kJMBBUYBnJiH61pkFVUxSqzq,64,64,75,75
1Ggky7cpcz4zHpJLFfx88j8Zn7kL6KcGur,86,86,83,83
1Hs6raqGjebbgsbbqzaPTKPh6Hmjs5aLU8,72,72,64,64
1CdtKWaguPQGCTr1HLbUuiW4s7gFRJHmDS,85,85,81,81
1PYYjU95wUM9XDz8mhkuC1ZcYrn4tB3vXe,85,77,93,95
1DNVJdf3Z1NL77pyyXmfUGGBL3ecwgf4X2,76,76,71,71
18HRy2EGoo2W3KZtdFXi4VZMsUE3GuqNJD,83,83,78,78
18y3tGmwCrJT3RqYnxa3666wRBZEQrSkc4,69,69,81,81
17xPUtcYE8tSWDpiWhtuz7mrFNafyvHEJa,64,64,75,75
1FFSdUGkujCpiKyQxQFqi4ebR6VZYfYk4Q,81,81,73,73
1P48ssQDCdeDFGp4B4z2XZsW3g7GMz74Vu,81,81,74,74
1J6vnTXDs7Kwo8RhzHhxW1rLKvASuEti5B,59,59,75,75
18QMDCmkhHm7t1EGcVw9CoNDs4SuyucyYN,80,80,81,81
154twmjpKYQWt9aBPN5LRhT4uQbMRexB5a,74,74,68,68
,"64,7326732673267","63,8217821782178","69,5247524752475","70,3564356435644"
